P_RP_2,P_RP_5,P_RP_10,P_RP_25,P_RP_50,P_RP_100,d
11.074311947708717,12.937404955742732,14.552310832697735,17.000526910694926,19.122610196588077,21.509581594239354,5
18.205027483713252,21.267760371871677,23.92249919559234,27.947114105887415,31.435600318379066,35.35953528628195,10
27.383276237923425,31.99011689193758,35.983269146968134,42.03693437425055,47.284176197659306,53.18640267119031,20
33.40294905371791,39.022512700069264,43.893480665319544,51.27792471132216,57.678669084529126,64.87838355572244,30
44.346097448945486,51.806687730386834,58.273434714621686,68.07709829964482,76.57479211894045,86.13320682749399,60
63.120316876428745,73.7393983681414,82.9438863002424,96.89799698042087,108.99324678702058,122.5982808249044,180
76.35868170123486,89.20492683610304,100.33989254937916,117.22062998194818,131.85264350442728,148.31109167202803,360
82.31936431729416,96.16840819555404,108.17258740333799,126.37106259563248,142.1452748399627,159.88849618193248,480
87.16931317753846,101.83429089019904,114.54571141051981,133.81637265222128,150.51994244601894,169.30852798435038,600
91.29329227661172,106.65206989856162,119.96486756221914,140.1472235424605,157.64103901100881,177.31851229247775,720
108.48524552483225,126.73632092947507,142.5561263844953,166.53913531303814,187.32730954736547,210.7103584769676,1440
