duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,7.129445794998292,9.221317166278393,10.657671692241093,12.533189582527555,13.96970294515932,15.434810210384814,85.55334953997951,110.65580599534071,127.89206030689313,150.39827499033066,167.63643534191183,185.21772252461776
10,11.323237439114934,14.645621381736273,16.926890334735855,19.90565404283788,22.187175265841272,24.51411033414059,67.9394246346896,87.87372829041763,101.56134200841514,119.43392425702727,133.12305159504763,147.08466200484355
15,14.678270754408246,18.985064754102574,21.94226524873166,25.80362561108614,28.761153122386833,31.777550433145205,58.71308301763299,75.9402590164103,87.76906099492663,103.21450244434456,115.04461248954733,127.11020173258082
20,16.9848561586724,21.968432072604408,25.39033550210378,29.858481064256825,33.28076289876191,36.77116550121088,50.9545684760172,65.90529621781323,76.17100650631134,89.57544319277048,99.84228869628572,110.31349650363263
25,19.081751980730722,24.680584180333348,28.52494482335116,33.544713294411984,37.38949905910289,41.31081556308877,45.796204753753734,59.23340203280003,68.45986757604278,80.50731190658877,89.73479774184692,99.14595735141303
30,20.968958220583207,27.12152107728939,31.346093212473797,36.86232230155163,41.08736160340976,45.39650061877886,41.937916441166415,54.24304215457878,62.69218642494759,73.72464460310326,82.17472320681951,90.79300123755772
60,28.336430027815148,36.65070415849918,42.359585422261894,49.813949056150854,55.523461626229405,61.346622457809275,28.336430027815148,36.65070415849918,42.359585422261894,49.813949056150854,55.523461626229405,61.346622457809275
360,48.57673719054026,62.82977855742716,72.61643215244897,85.39534123911575,95.18307707353613,105.16563849910162,8.096122865090043,10.471629759571194,12.102738692074828,14.232556873185958,15.863846178922687,17.52760641651694
480,52.624798623085276,68.06559343721275,78.66780149848637,92.51161967570873,103.11500016299748,113.92944170736008,6.5780998278856595,8.508199179651594,9.833475187310796,11.563952459463591,12.889375020374684,14.24118021342001
600,55.32350624478195,71.55613669040315,82.70204772917798,97.25580530010404,108.40294888930504,119.77197717953239,5.5323506244781955,7.155613669040315,8.270204772917797,9.725580530010404,10.840294888930504,11.977197717953239
720,57.347536961054466,74.17404413029595,85.7277324021967,100.81394451840055,112.36891043403571,124.15387878366164,4.7789614134212055,6.1811703441913295,7.143977700183059,8.401162043200046,9.364075869502976,10.346156565305137
1440,67.46769054241702,87.26358132975996,100.85615576729023,118.60464060988299,132.1987181576891,146.0633868043078,2.811153772600709,3.635982555406665,4.202339823637093,4.941860025411791,5.508279923237045,6.085974450179492
