duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,8.911807243747864,11.526646457847992,13.322089615301365,15.666486978159444,17.46212868144915,19.293512762981017,106.94168692497438,138.31975749417592,159.8650753836164,187.99784373791334,209.54554417738981,231.52215315577217
10,14.154046798893667,18.30702672717034,21.158612918419816,24.88206755354735,27.733969082301588,30.64263791767573,84.924280793362,109.84216036302203,126.9516775105189,149.2924053212841,166.40381449380953,183.85582750605437
15,18.347838443010307,23.731330942628215,27.427831560914573,32.25453201385768,35.95144140298354,39.7219380414315,73.39135377204123,94.92532377051286,109.71132624365829,129.0181280554307,143.80576561193416,158.887752165726
20,21.2310701983405,27.460540090755508,31.737919377629723,37.32310133032102,41.600953623452384,45.9639568765136,63.693210595021505,82.38162027226653,95.21375813288917,111.96930399096307,124.80286087035715,137.8918706295408
25,23.8521899759134,30.85073022541668,35.65618102918894,41.93089161801498,46.736873823878604,51.63851945386096,57.24525594219216,74.04175254100004,85.57483447005346,100.63413988323595,112.16849717730865,123.93244668926631
30,26.211197775729016,33.901901346611744,39.18261651559225,46.07790287693954,51.35920200426221,56.745625773473584,52.42239555145803,67.80380269322349,78.3652330311845,92.15580575387908,102.71840400852442,113.49125154694717
60,37.19156441150738,48.10404920803017,55.59695586671873,65.380808136198,72.87454338442609,80.51744197587468,37.19156441150738,48.10404920803017,55.59695586671873,65.380808136198,72.87454338442609,80.51744197587468
360,57.684875413766555,74.61036203694476,86.23201318103314,101.40696772144996,113.02990402482416,124.88419571768317,9.614145902294426,12.435060339490795,14.372002196838856,16.901161286908327,18.838317337470695,20.81403261961386
480,59.202898450970935,76.57379261686435,88.50127668579717,104.07557213517232,116.00437518337216,128.1706219207801,7.400362306371367,9.571724077108042,11.062659585724646,13.00944651689654,14.50054689792152,16.02132774009751
600,62.23894452537971,80.50065377670356,93.03980369532523,109.41278096261706,121.95331750046817,134.74347432697397,6.223894452537971,8.050065377670355,9.303980369532523,10.941278096261707,12.195331750046819,13.474347432697398
720,64.51597908118627,83.44579964658296,96.44369895247128,113.41568758320061,126.41502423829017,139.67311363161934,5.376331590098856,6.953816637215246,8.03697491270594,9.45130729860005,10.534585353190847,11.639426135968279
1440,83.49126704624106,107.98868189557794,124.80949276202166,146.7732427547302,163.59591372014023,180.75344117033092,3.4788027935933776,4.4995284123157475,5.200395531750903,6.115551781447092,6.816496405005843,7.5313933820971215
