duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,8.911807243747864,11.526646457847992,13.322089615301365,15.666486978159444,17.46212868144915,19.293512762981017,106.94168692497438,138.31975749417592,159.8650753836164,187.99784373791334,209.54554417738981,231.52215315577217
10,14.154046798893667,18.30702672717034,21.158612918419816,24.88206755354735,27.733969082301588,30.64263791767573,84.924280793362,109.84216036302203,126.9516775105189,149.2924053212841,166.40381449380953,183.85582750605437
15,18.347838443010307,23.731330942628215,27.427831560914573,32.25453201385768,35.95144140298354,39.7219380414315,73.39135377204123,94.92532377051286,109.71132624365829,129.0181280554307,143.80576561193416,158.887752165726
20,21.2310701983405,27.460540090755508,31.737919377629723,37.32310133032102,41.600953623452384,45.9639568765136,63.693210595021505,82.38162027226653,95.21375813288917,111.96930399096307,124.80286087035715,137.8918706295408
25,23.8521899759134,30.85073022541668,35.65618102918894,41.93089161801498,46.736873823878604,51.63851945386096,57.24525594219216,74.04175254100004,85.57483447005346,100.63413988323595,112.16849717730865,123.93244668926631
30,26.211197775729016,33.901901346611744,39.18261651559225,46.07790287693954,51.35920200426221,56.745625773473584,52.42239555145803,67.80380269322349,78.3652330311845,92.15580575387908,102.71840400852442,113.49125154694717
60,35.42053753476894,45.81338019812397,52.949481777827366,62.26743632018857,69.40432703278677,76.6832780722616,35.42053753476894,45.81338019812397,52.949481777827366,62.26743632018857,69.40432703278677,76.6832780722616
360,60.720921488175314,78.53722319678396,90.77054019056119,106.74417654889469,118.97884634192016,131.45704812387703,10.120153581362551,13.089537199463992,15.128423365093532,17.790696091482445,19.82980772365336,21.90950802064617
480,65.7809982788566,85.08199179651595,98.33475187310796,115.63952459463592,128.89375020374683,142.41180213420012,8.222624784857075,10.635248974564494,12.291843984138495,14.45494057432949,16.111718775468354,17.801475266775014
600,69.15438280597745,89.44517086300394,103.37755966147247,121.56975662513005,135.50368611163128,149.7149714744155,6.915438280597744,8.944517086300394,10.337755966147247,12.156975662513005,13.550368611163128,14.97149714744155
720,71.68442120131809,92.71755516286996,107.15966550274587,126.01743064800068,140.46113804254466,155.19234847957705,5.973701766776506,7.726462930239163,8.929972125228822,10.501452554000057,11.705094836878724,12.93269570663142
1440,84.33461317802127,109.07947666219992,126.07019470911277,148.25580076235372,165.24839769711133,182.57923350538474,3.513942215750886,4.54497819425833,5.252924779546365,6.177325031764738,6.885349904046306,7.607468062724364
