duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,10.694168692497437,13.831975749417591,15.98650753836164,18.799784373791333,20.95455441773898,23.152215315577223,128.33002430996925,165.9837089930111,191.83809046033966,225.597412485496,251.45465301286777,277.8265837869267
10,16.9848561586724,21.968432072604408,25.39033550210378,29.858481064256825,33.28076289876191,36.77116550121088,101.9091369520344,131.81059243562646,152.3420130126227,179.15088638554096,199.68457739257144,220.62699300726527
15,22.017406131612372,28.477597131153864,32.913397873097495,38.705438416629214,43.14172968358025,47.66632564971781,88.06962452644949,113.91038852461546,131.65359149238998,154.82175366651686,172.566918734321,190.66530259887125
20,25.477284238008597,32.95264810890661,38.085503253155665,44.78772159638523,49.92114434814286,55.15674825181632,76.43185271402578,98.85794432671983,114.25650975946698,134.3631647891557,149.76343304442858,165.47024475544896
25,28.62262797109608,37.02087627050002,42.78741723502674,50.31706994161798,56.084248588654326,61.96622334463315,68.69430713063059,88.85010304920004,102.68980136406417,120.76096785988315,134.6021966127704,148.71893602711955
30,31.45343733087482,40.682281615934095,47.01913981871071,55.29348345232746,61.631042405114655,68.09475092816831,62.90687466174964,81.36456323186819,94.03827963742143,110.58696690465491,123.26208481022931,136.18950185633662
60,42.504645041722725,54.97605623774877,63.53937813339285,74.7209235842263,83.28519243934413,92.01993368671393,42.504645041722725,54.97605623774877,63.53937813339285,74.7209235842263,83.28519243934413,92.01993368671393
360,72.86510578581039,94.24466783614075,108.92464822867345,128.09301185867363,142.7746156103042,157.74845774865244,12.144184297635064,15.707444639356792,18.15410803811224,21.348835309778938,23.79576926838403,26.291409624775405
480,78.93719793462792,102.09839015581915,118.00170224772955,138.7674295135631,154.6725002444962,170.89416256104013,9.86714974182849,12.762298769477393,14.750212780966194,17.345928689195386,19.334062530562026,21.361770320130017
600,82.98525936717294,107.33420503560474,124.05307159376699,145.8837079501561,162.60442333395758,179.6579657692986,8.298525936717294,10.733420503560474,12.405307159376697,14.58837079501561,16.26044233339576,17.96579657692986
720,86.0213054415817,111.26106619544395,128.59159860329504,151.22091677760082,168.55336565105358,186.23081817549246,7.168442120131808,9.271755516286996,10.715966550274587,12.601743064800068,14.046113804254466,15.519234847957705
1440,101.20153581362554,130.89537199463993,151.28423365093533,177.9069609148245,198.29807723653363,219.09508020646172,4.2167306589010645,5.453973833109997,6.3035097354556395,7.412790038117688,8.262419884855568,9.128961675269238
