duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,7.171930190131774,9.224117060031633,10.582661594347558,12.299107020999788,13.57243867845882,14.836358563007948,86.06316228158128,110.6894047203796,126.99193913217069,147.58928425199744,162.86926414150585,178.03630275609538
10,11.39071265491517,14.650068271814945,16.807756649846123,19.533875856882016,21.556226136375773,23.5636283059538,68.34427592949102,87.90040963088967,100.84653989907675,117.2032551412921,129.33735681825465,141.3817698357228
15,14.765738626741886,18.990829241241595,21.787832694244972,25.3216909255878,27.94325610270933,30.54544410031048,59.06295450696754,75.96331696496638,87.15133077697989,101.2867637023512,111.77302441083732,122.18177640124192
20,17.086068982372755,21.975102407722417,25.211634974769183,29.300813785323026,32.334339204563655,35.3454424589307,51.25820694711827,65.92530722316725,75.63490492430755,87.90244135596907,97.00301761369096,106.03632737679209
25,19.195460214764452,24.688078013614074,28.324182502518465,32.91819820326414,36.326232933522135,39.70907733040362,46.06910451543468,59.25138723267378,67.97803800604432,79.00367568783393,87.18295904045313,95.3017855929687
30,21.093912323916978,27.129756058916563,31.125475277492814,36.17384417941114,39.918937289584754,43.63634871472925,42.187824647833956,54.259512117833125,62.25095055498563,72.34768835882228,79.83787457916951,87.2726974294585
60,28.505286924212136,36.66183251204941,42.061453077692995,48.88357321542046,53.94450985079022,58.96803880368818,28.505286924212136,36.66183251204941,42.061453077692995,48.88357321542046,53.94450985079022,58.96803880368818
360,48.866206155792234,62.84885573494185,72.105348133188,83.80041122643507,92.47630260135466,101.08806652060832,8.144367692632038,10.474809289156976,12.017558022198,13.966735204405847,15.412717100225775,16.848011086768054
480,52.93839000210825,68.08626037952034,78.114127144287,90.783778828638,100.18266115146754,109.51207206399235,6.617298750263531,8.510782547440042,9.764265893035875,11.34797235357975,12.522832643933443,13.689009007999044
600,55.65317923298559,71.57786347590599,82.11997981835299,95.43935723010661,105.32023351820946,115.12807575958169,5.565317923298559,7.157786347590598,8.2119979818353,9.54393572301066,10.532023351820946,11.512807575958169
720,57.68927115614361,74.19656579819524,85.1243693239025,98.93104103120808,109.17341279326591,119.3400785312737,4.807439263011967,6.183047149849603,7.093697443658542,8.244253419267341,9.097784399438826,9.945006544272808
1440,67.86973077193366,87.29007740964146,100.14631685165,116.38946003671539,128.43930916854814,140.40009238973377,2.8279054488305695,3.6370865587350605,4.172763202152083,4.849560834863141,5.351637882022839,5.85000384957224
