duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,8.964912737664717,11.53014632503954,13.228326992934448,15.373883776249736,16.965548348073526,18.545448203759936,107.5789528519766,138.3617559004745,158.73992391521338,184.48660531499684,203.5865801768823,222.54537844511924
10,14.238390818643962,18.31258533976868,21.00969581230765,24.41734482110252,26.945282670469712,29.45453538244225,85.43034491186378,109.87551203861207,126.0581748738459,146.50406892661513,161.67169602281825,176.7272122946535
15,18.457173283427355,23.73853655155199,27.23479086780621,31.652113656984746,34.92907012838666,38.181805125388095,73.82869313370942,94.95414620620797,108.93916347122484,126.60845462793898,139.71628051354665,152.72722050155238
20,21.357586227965943,27.468878009653018,31.514543718461475,36.626017231653776,40.41792400570457,44.18180307366337,64.07275868389783,82.40663402895906,94.54363115538442,109.87805169496133,121.25377201711372,132.5454092209901
25,23.994325268455565,30.86009751701759,35.405228128148075,41.14774775408017,45.40779116690266,49.636346663004524,57.58638064429336,74.06423404084221,84.97254750755538,98.7545946097924,108.97869880056638,119.12723199121086
30,26.367390404896227,33.912195073645705,38.906844096866024,45.21730522426393,49.89867161198095,54.54543589341157,52.734780809792454,67.82439014729141,77.81368819373205,90.43461044852786,99.7973432239619,109.09087178682314
60,35.63160865526517,45.82729064006177,52.57681634711625,61.104466519275576,67.43063731348778,73.71004850461023,35.63160865526517,45.82729064006177,52.57681634711625,61.104466519275576,67.43063731348778,73.71004850461023
360,61.08275769474029,78.5610696686773,90.13168516648498,104.75051403304384,115.59537825169332,126.36008315076039,10.180459615790047,13.09351161144622,15.021947527747498,17.458419005507306,19.26589637528222,21.060013858460064
480,66.17298750263531,85.10782547440041,97.64265893035875,113.4797235357975,125.22832643933444,136.89009007999042,8.271623437829414,10.638478184300052,12.205332366294844,14.184965441974688,15.653540804916805,17.111261259998802
600,69.566474041232,89.4723293448825,102.64997477294123,119.29919653763326,131.65029189776183,143.9100946994771,6.9566474041232,8.94723293448825,10.264997477294123,11.929919653763328,13.165029189776183,14.39100946994771
720,72.11158894517952,92.74570724774405,106.40546165487812,123.66380128901011,136.4667659915824,149.17509816409216,6.009299078764959,7.728808937312004,8.867121804573177,10.305316774084176,11.372230499298533,12.431258180341015
1440,84.83716346491707,109.11259676205181,125.18289606456248,145.48682504589422,160.54913646068516,175.5001154871672,3.534881811038211,4.546358198418825,5.215954002690103,6.061951043578925,6.689547352528549,7.3125048119653
