duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,10.75789528519766,13.836175590047448,15.873992391521337,18.448660531499684,20.358658017688228,22.254537844511923,129.09474342237192,166.03410708056938,190.48790869825604,221.3839263779962,244.30389621225873,267.0544541341431
10,17.086068982372755,21.975102407722417,25.211634974769183,29.300813785323026,32.334339204563655,35.3454424589307,102.51641389423654,131.8506144463345,151.2698098486151,175.80488271193815,194.00603522738191,212.07265475358417
15,22.148607940112832,28.486243861862395,32.68174904136746,37.9825363883817,41.914884154064,45.81816615046572,88.59443176045133,113.94497544744958,130.72699616546984,151.9301455535268,167.659536616256,183.27266460186289
20,25.62910347355913,32.962653611583626,37.817452462153774,43.95122067798454,48.50150880684548,53.018163688396044,76.88731042067738,98.88796083475088,113.45235738646132,131.8536620339536,145.50452642053645,159.05449106518813
25,28.79319032214668,37.03211702042111,42.486273753777695,49.37729730489621,54.489349400283196,59.56361599560543,69.10365677315203,88.87708084901067,101.96705700906647,118.5055135317509,130.77443856067967,142.95267838945304
30,31.640868485875476,40.694634088374855,46.68821291623924,54.26076626911672,59.87840593437715,65.45452307209389,63.28173697175095,81.38926817674971,93.37642583247847,108.52153253823344,119.7568118687543,130.90904614418778
60,42.75793038631821,54.99274876807412,63.092179616539504,73.3253598231307,80.91676477618533,88.45205820553228,42.75793038631821,54.99274876807412,63.092179616539504,73.3253598231307,80.91676477618533,88.45205820553228
360,73.29930923368835,94.27328360241277,108.158022199782,125.70061683965262,138.714453902032,151.63209978091248,12.216551538948059,15.712213933735464,18.026337033297,20.950102806608772,23.11907565033867,25.27201663015208
480,79.40758500316238,102.1293905692805,117.17119071643049,136.175668242957,150.27399172720132,164.2681080959885,9.925948125395298,12.766173821160063,14.646398839553813,17.021958530369623,18.784248965900165,20.533513511998567
600,83.4797688494784,107.366795213859,123.1799697275295,143.15903584515993,157.98035027731422,172.69211363937256,8.34797688494784,10.7366795213859,12.317996972752951,14.315903584515993,15.798035027731421,17.269211363937256
720,86.53390673421542,111.29484869729286,127.68655398585375,148.39656154681214,163.7601191898989,179.01011779691058,7.2111588945179514,9.274570724774406,10.640546165487812,12.36638012890101,13.64667659915824,14.917509816409215
1440,101.80459615790049,130.9351161144622,150.219475277475,174.5841900550731,192.65896375282222,210.60013858460067,4.241858173245854,5.455629838102592,6.259144803228125,7.274341252294712,8.027456823034258,8.77500577435836
