duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,7.173377495748194,9.225854915675775,10.584773559620976,12.301770868669221,13.57553755728639,14.839898952619041,86.08052994897832,110.7102589881093,127.01728271545171,147.62125042403065,162.9064506874367,178.07878743142848
10,11.393011316776544,14.652828395485054,16.811110947633313,19.538106673768766,21.561147885101914,23.569251277689066,68.35806790065926,87.91697037291033,100.86666568579987,117.2286400426126,129.3668873106115,141.41550766613437
15,14.768718373599222,18.994407179332477,21.79218085804318,25.327175317848397,27.94963614735433,30.552733137745083,59.07487349439689,75.9776287173299,87.16872343217273,101.30870127139359,111.79854458941732,122.21093255098033
20,17.089516975164816,21.979242593227582,25.216666421449972,29.307160010653146,32.34172182765287,35.3538769165336,51.268550925494445,65.93772777968275,75.64999926434992,87.92148003195943,97.02516548295861,106.0616307496008
25,19.199333885678993,24.69272933313222,28.32983511545614,32.92532791320292,36.33452699156063,39.71855307906861,46.078401325629585,59.26255039951733,67.99160427709474,79.020786991687,87.20286477974551,95.32452738976467
30,21.098169105141746,27.134867399046392,31.131686940061687,36.18167902549771,39.92805163907761,43.646761625350116,42.19633821028349,54.269734798092784,62.263373880123375,72.36335805099542,79.85610327815522,87.29352325070023
60,28.51103933127263,36.668739728441075,42.069847216299586,48.89416084526717,53.95682653929408,58.98211030452719,28.51103933127263,36.668739728441075,42.069847216299586,48.89416084526717,53.95682653929408,58.98211030452719
360,48.8760674250388,62.86069667732756,72.119738085085,83.81856144902945,92.49741692450414,101.11218909347518,8.146011237506466,10.476782779554593,12.019956347514169,13.969760241504908,15.416236154084022,16.8520315155792
480,52.94907304379203,68.09908806710486,78.12971625884208,90.8034415697819,100.20553500154614,109.53820485126478,6.618634130474004,8.512386008388107,9.76621453235526,11.350430196222737,12.525691875193267,13.692275606408097
600,55.664410122960845,71.59134899362304,82.13636837468013,95.4600283169502,105.34428038624081,115.15554868979117,5.566441012296084,7.159134899362304,8.213636837468012,9.54600283169502,10.534428038624082,11.515554868979118
720,57.70091293233747,74.2105446885117,85.14135746155868,98.95246837732643,109.19833942476183,119.36855656868597,4.808409411028122,6.184212057375976,7.095113121796556,8.24603903144387,9.099861618730152,9.947379714057165
1440,67.88342697922056,87.30652316295495,100.16630289595139,116.41466867920757,128.46863461736686,140.43359596315997,2.8284761241341903,3.637771798456456,4.173595953997975,4.850611194966982,5.352859775723619,5.851399831798332
