duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,8.966721869685243,11.532318644594719,13.23096694952622,15.377213585836527,16.969421946607987,18.5498736907738,107.6006624362229,138.38782373513664,158.77160339431464,184.52656303003832,203.63306335929585,222.59848428928564
10,14.241264145970678,18.316035494356317,21.01388868454164,24.422633342210954,26.95143485637739,29.46156409711133,85.44758487582406,109.89621296613791,126.08333210724984,146.53580005326575,161.70860913826434,176.769384582668
15,18.460897966999028,23.743008974165594,27.240226072553977,31.658969147310493,34.93704518419291,38.19091642218135,73.84359186799611,94.97203589666238,108.96090429021591,126.63587658924197,139.74818073677164,152.7636656887254
20,21.36189621895602,27.474053241534474,31.52083302681246,36.63395001331643,40.427152284566084,44.192346145666995,64.08568865686806,82.42215972460342,94.56249908043739,109.9018500399493,121.28145685369824,132.577038437001
25,23.999167357098734,30.865911666415272,35.41229389432017,41.156659891503644,45.41815873945079,49.64819134883576,57.59800165703697,74.07818799939665,84.9895053463684,98.77598373960875,109.0035809746819,119.15565923720582
30,26.372711381427184,33.918584248807996,38.91460867507712,45.22709878187214,49.910064548847025,54.55845203168765,52.74542276285437,67.83716849761599,77.82921735015424,90.45419756374427,99.82012909769405,109.1169040633753
60,37.42073912229532,48.12772089357891,55.2166744713932,64.17358610941316,70.81833483282347,77.41401977469194,37.42073912229532,48.12772089357891,55.2166744713932,64.17358610941316,70.81833483282347,77.41401977469194
360,58.040330067233576,74.64707730432647,85.64218897603844,99.53454172072247,109.84068259784866,120.07072454850177,9.67338834453893,12.441179550721078,14.273698162673075,16.58909028678708,18.306780432974776,20.011787424750295
480,59.56770717426603,76.61147407549296,87.89593079119734,102.15387176600464,112.73122687673941,123.23048045767287,7.445963396783254,9.57643425943662,10.986991348899668,12.76923397075058,14.091403359592427,15.403810057209109
600,62.62246138833096,80.54026761782593,92.40341442151517,107.39253185656898,118.51231543452093,129.54999227601508,6.262246138833096,8.054026761782593,9.240341442151516,10.7392531856569,11.851231543452093,12.954999227601508
720,64.91352704887966,83.48686277457566,95.78402714425351,111.32152692449223,122.84813185285705,134.2896261397717,5.409460587406638,6.957238564547971,7.982002262021126,9.276793910374353,10.23734432107142,11.190802178314309
1440,84.00574088678543,108.04182241415674,123.95579983373985,144.06315249051937,158.97993533899148,173.78657500441048,3.5002392036160597,4.501742600589864,5.164824993072494,6.0026313537716405,6.6241639724579775,7.241107291850436
