duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,8.966721869685243,11.532318644594719,13.23096694952622,15.377213585836527,16.969421946607987,18.5498736907738,107.6006624362229,138.38782373513664,158.77160339431464,184.52656303003832,203.63306335929585,222.59848428928564
10,14.241264145970678,18.316035494356317,21.01388868454164,24.422633342210954,26.95143485637739,29.46156409711133,85.44758487582406,109.89621296613791,126.08333210724984,146.53580005326575,161.70860913826434,176.769384582668
15,18.460897966999028,23.743008974165594,27.240226072553977,31.658969147310493,34.93704518419291,38.19091642218135,73.84359186799611,94.97203589666238,108.96090429021591,126.63587658924197,139.74818073677164,152.7636656887254
20,21.36189621895602,27.474053241534474,31.52083302681246,36.63395001331643,40.427152284566084,44.192346145666995,64.08568865686806,82.42215972460342,94.56249908043739,109.9018500399493,121.28145685369824,132.577038437001
25,23.999167357098734,30.865911666415272,35.41229389432017,41.156659891503644,45.41815873945079,49.64819134883576,57.59800165703697,74.07818799939665,84.9895053463684,98.77598373960875,109.0035809746819,119.15565923720582
30,26.372711381427184,33.918584248807996,38.91460867507712,45.22709878187214,49.910064548847025,54.55845203168765,52.74542276285437,67.83716849761599,77.82921735015424,90.45419756374427,99.82012909769405,109.1169040633753
60,35.63879916409079,45.83592466055134,52.587309020374484,61.11770105658397,67.4460331741176,73.72763788065899,35.63879916409079,45.83592466055134,52.587309020374484,61.11770105658397,67.4460331741176,73.72763788065899
360,61.0950842812985,78.57587084665944,90.14967260635625,104.7732018112868,115.62177115563016,126.39023636684398,10.182514046883083,13.09597847444324,15.024945434392707,17.462200301881133,19.270295192605026,21.065039394473995
480,66.18634130474004,85.12386008388107,97.66214532355261,113.50430196222737,125.25691875193267,136.92275606408097,8.273292663092505,10.640482510485134,12.207768165444076,14.188037745278422,15.657114843991584,17.11534450801012
600,69.58051265370106,89.48918624202881,102.67046046835017,119.32503539618774,131.680350482801,143.94443586223898,6.958051265370106,8.94891862420288,10.267046046835016,11.932503539618773,13.1680350482801,14.394443586223897
720,72.12614116542184,92.76318086063964,106.42669682694836,123.69058547165804,136.49792428095228,149.2106957108575,6.0105117637851535,7.730265071719969,8.868891402245698,10.307548789304835,11.37482702341269,12.434224642571458
1440,84.85428372402568,109.13315395369366,125.20787861993922,145.51833584900945,160.58579327170855,175.54199495394994,3.5355951551677367,4.547214748070569,5.216994942497467,6.063263993708727,6.691074719654523,7.3142497897479135
