duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,10.760066243622292,13.838782373513663,15.877160339431464,18.45265630300383,20.363306335929586,22.25984842892856,129.12079492346749,166.06538848216397,190.52592407317758,221.43187563604596,244.35967603115506,267.11818114714276
10,17.089516975164816,21.979242593227582,25.216666421449972,29.307160010653146,32.34172182765287,35.3538769165336,102.53710185098889,131.8754555593655,151.29999852869983,175.84296006391887,194.05033096591723,212.1232614992016
15,22.153077560398835,28.491610768998715,32.68827128706478,37.9907629767726,41.924454221031496,45.829099706617626,88.61231024159534,113.96644307599486,130.75308514825912,151.96305190709037,167.69781688412598,183.3163988264705
20,25.634275462747222,32.968863889841366,37.82499963217495,43.96074001597972,48.5125827414793,53.03081537480039,76.90282638824166,98.90659166952409,113.47499889652485,131.88222004793914,145.5377482244379,159.0924461244012
25,28.799000828518484,37.03909399969833,42.49475267318421,49.387991869804374,54.50179048734095,59.57782961860291,69.11760198844436,88.89382559927598,101.98740641564211,118.53118048753049,130.80429716961828,142.986791084647
30,31.647253657712625,40.7023010985696,46.69753041009255,54.27251853824657,59.892077458616434,65.47014243802519,63.29450731542525,81.4046021971392,93.3950608201851,108.54503707649314,119.78415491723287,130.94028487605038
60,42.766558996908955,55.003109592661616,63.10477082444938,73.34124126790077,80.93523980894112,88.4731654567908,42.766558996908955,55.003109592661616,63.10477082444938,73.34124126790077,80.93523980894112,88.4731654567908
360,73.3141011375582,94.29104501599134,108.1796071276275,125.72784217354418,138.7461253867562,151.6682836402128,12.219016856259698,15.71517416933189,18.02993452127125,20.954640362257365,23.12435423112603,25.2780472733688
480,79.42360956568804,102.14863210065728,117.19457438826312,136.20516235467284,150.3083025023192,164.30730727689718,9.927951195711005,12.76857901258216,14.64932179853289,17.025645294334105,18.7885378127899,20.538413409612147
600,83.49661518444128,107.38702349043459,123.20455256202023,143.19004247542532,158.01642057936124,172.73332303468678,8.349661518444128,10.738702349043459,12.320455256202024,14.319004247542532,15.801642057936125,17.273332303468678
720,86.55136939850621,111.31581703276755,127.71203619233803,148.42870256598965,163.79750913714273,179.05283485302897,7.212614116542184,9.276318086063963,10.642669682694835,12.369058547165805,13.649792428095227,14.921069571085749
1440,101.82514046883084,130.95978474443243,150.24945434392708,174.62200301881137,192.70295192605028,210.65039394474,4.242714186201285,5.456657697684684,6.260393930996962,7.275916792450474,8.029289663585427,8.7770997476975
