duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,7.398762073091874,8.789463800433552,9.626680551159343,10.597964800042433,11.260930512856698,11.874174636284927,88.7851448771025,105.47356560520261,115.5201666139121,127.1755776005092,135.13116615428038,142.49009563541912
10,11.750975057263565,13.959736624217994,15.28943381654719,16.832061741243862,17.885007285125344,18.858983245864298,70.50585034358139,83.75841974530798,91.73660289928314,100.99237044746317,107.31004371075205,113.1538994751858
15,15.232745444600916,18.095954883245547,19.819636428857468,21.819339294205008,23.18426870294026,24.44683013352779,60.93098177840366,72.38381953298219,79.27854571542987,87.27735717682003,92.73707481176103,97.78732053411116
20,17.626462585895347,20.93960493632699,22.934150724820785,25.248092611865797,26.827510927688017,28.288474868796445,52.87938775768604,62.818814808980974,68.80245217446236,75.74427783559739,80.48253278306404,84.86542460638933
25,19.802569077981193,23.524741348219212,25.76552735751471,28.36514108246651,30.13954931382234,31.78087917358613,47.52616578715486,56.45937923572611,61.83726565803531,68.07633859791963,72.33491835317362,76.27411001660671
30,21.761064920858452,25.851364118922206,28.313766326939238,31.17048470600715,33.12038386134323,34.924043047896845,43.522129841716904,51.70272823784441,56.627532653878475,62.3409694120143,66.24076772268646,69.84808609579369
60,29.40684448764656,34.93427583638136,38.26184638775573,42.122276629739396,44.75727548830166,47.19465276742817,29.40684448764656,34.93427583638136,38.26184638775573,42.122276629739396,44.75727548830166,47.19465276742817
360,50.4117334073941,59.887330005225195,65.59173666472411,72.20961707955325,76.7267579799457,80.90511902987686,8.401955567899018,9.981221667537532,10.931956110787352,12.034936179925543,12.787792996657618,13.484186504979476
480,54.61271119134361,64.87794083899396,71.05771472011779,78.22708516951602,83.12065447827452,87.6472122823666,6.826588898917951,8.109742604874246,8.882214340014723,9.778385646189502,10.390081809784315,10.955901535295824
600,57.41336304730994,68.20501472817314,74.70170009038023,82.23873056282453,87.38325214382705,92.14194111735975,5.741336304730994,6.8205014728173134,7.470170009038023,8.223873056282454,8.738325214382705,9.214194111735976
720,59.5138519392847,70.70032014505752,77.43468911807707,85.24746460780592,90.58020039299146,95.51298774360463,4.959487661607058,5.8916933454214595,6.452890759839756,7.103955383983826,7.548350032749289,7.959415645300386
1440,70.01629639915848,83.17684722947943,91.09963425656126,100.29113483271286,106.56494163881348,112.36822087482898,2.91734568329827,3.4657019678949768,3.7958180940233857,4.178797284696369,4.440205901617229,4.682009203117874
