duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,9.248452591364844,10.98682975054194,12.033350688949177,13.24745600005304,14.076163141070873,14.84271829535616,110.98143109637813,131.84195700650326,144.40020826739013,158.96947200063647,168.9139576928505,178.11261954427394
10,14.688718821579455,17.44967078027249,19.11179227068399,21.040077176554828,22.35625910640668,23.57372905733037,88.13231292947674,104.69802468163496,114.67075362410394,126.24046305932897,134.13755463844006,141.44237434398224
15,19.040931805751143,22.61994360405693,24.774545536071834,27.274174117756257,28.980335878675323,30.558537666909736,76.16372722300457,90.47977441622773,99.09818214428734,109.09669647102503,115.92134351470129,122.23415066763894
20,22.03307823236918,26.174506170408737,28.667688406025977,31.56011576483224,33.534388659610016,35.36059358599555,66.09923469710755,78.52351851122621,86.00306521807792,94.68034729449673,100.60316597883005,106.08178075798666
25,24.753211347476487,29.40592668527401,32.206909196893385,35.45642635308314,37.67443664227792,39.72609896698266,59.40770723394357,70.57422404465763,77.29658207254413,85.09542324739954,90.418647941467,95.34263752075839
30,27.201331151073067,32.31420514865276,35.39220790867405,38.96310588250894,41.40047982667904,43.655053809871056,54.40266230214613,64.62841029730552,70.7844158173481,77.92621176501788,82.80095965335808,87.31010761974211
60,36.7585556095582,43.667844795476704,47.82730798469466,52.65284578717424,55.94659436037708,58.99331595928521,36.7585556095582,43.667844795476704,47.82730798469466,52.65284578717424,55.94659436037708,58.99331595928522
360,63.01466675924262,74.85916250653149,81.98967083090513,90.26202134944157,95.90844747493213,101.13139878734607,10.502444459873772,12.476527084421916,13.664945138484187,15.04367022490693,15.984741245822024,16.855233131224345
480,68.26588898917952,81.09742604874245,88.82214340014723,97.78385646189503,103.90081809784314,109.55901535295826,8.53323612364744,10.137178256092806,11.102767925018403,12.222982057736878,12.987602262230393,13.694876919119782
600,71.76670380913743,85.25626841021642,93.37712511297529,102.79841320353067,109.22906517978382,115.1774263966997,7.176670380913743,8.525626841021642,9.337712511297529,10.279841320353068,10.922906517978381,11.51774263966997
720,74.39231492410589,88.37540018132191,96.79336139759634,106.55933075975742,113.22525049123934,119.3912346795058,6.199359577008824,7.364616681776825,8.066113449799696,8.879944229979785,9.435437540936611,9.949269556625485
1440,87.52037049894808,103.97105903684928,113.87454282070156,125.36391854089105,133.20617704851685,140.4602760935362,3.6466821041228368,4.33212745986872,4.7447726175292315,5.22349660587046,5.550257377021536,5.852511503897341
