duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,11.098143109637812,13.184195700650328,14.440020826739014,15.896947200063648,16.891395769285047,17.81126195442739,133.17771731565375,158.21034840780393,173.28024992086816,190.7633664007638,202.69674923142057,213.7351434531287
10,17.626462585895347,20.93960493632699,22.934150724820785,25.248092611865797,26.827510927688017,28.288474868796445,105.75877551537208,125.63762961796195,137.60490434892472,151.48855567119477,160.9650655661281,169.73084921277865
15,22.849118166901377,27.14393232486832,29.729454643286203,32.72900894130751,34.776403054410395,36.67024520029169,91.39647266760552,108.57572929947328,118.91781857314481,130.91603576523005,139.10561221764158,146.68098080116675
20,26.43969387884302,31.409407404490484,34.40122608723117,37.87213891779869,40.24126639153202,42.43271230319466,79.31908163652906,94.22822221347145,103.20367826169351,113.61641675339607,120.72379917459607,127.29813690958399
25,29.703853616971788,35.28711202232881,38.64829103627206,42.54771162369976,45.20932397073351,47.671318760379194,71.28924868073229,84.68906885358916,92.75589848705295,102.11450789687942,108.50237752976041,114.41116502491006
30,32.64159738128768,38.77704617838332,42.47064949040887,46.75572705901074,49.68057579201485,52.386064571845274,65.28319476257536,77.55409235676665,84.94129898081773,93.51145411802148,99.36115158402968,104.77212914369055
60,44.11026673146984,52.401413754572054,57.3927695816336,63.183414944609105,67.1359132324525,70.79197915114226,44.11026673146984,52.401413754572054,57.3927695816336,63.183414944609105,67.1359132324525,70.79197915114226
360,75.61760011109115,89.8309950078378,98.38760499708617,108.31442561932988,115.09013696991856,121.3576785448153,12.602933351848524,14.971832501306299,16.39793416618103,18.052404269888314,19.181689494986426,20.226279757469214
480,81.91906678701541,97.31691125849095,106.58657208017668,117.34062775427404,124.68098171741177,131.4708184235499,10.239883348376926,12.164613907311368,13.323321510022085,14.667578469284255,15.585122714676471,16.433852302943738
600,86.12004457096492,102.30752209225972,112.05255013557036,123.35809584423681,131.0748782157406,138.21291167603965,8.612004457096493,10.230752209225972,11.205255013557036,12.33580958442368,13.10748782157406,13.821291167603965
720,89.27077790892706,106.05048021758628,116.15203367711561,127.87119691170889,135.8703005894872,143.26948161540696,7.439231492410588,8.83754001813219,9.679336139759634,10.65593307597574,11.322525049123932,11.939123467950578
1440,105.02444459873772,124.76527084421917,136.6494513848419,150.4367022490693,159.84741245822025,168.55233131224347,4.376018524947405,5.198552951842466,5.69372714103508,6.268195927044554,6.660308852425843,7.023013804676811
