duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,7.378307751750575,8.70248680247282,9.549395479229021,10.60670476199448,11.38697329428274,12.159931725169965,88.53969302100691,104.42984162967382,114.59274575074826,127.28045714393377,136.64367953139288,145.91918070203957
10,11.71848878219209,13.82159668628036,15.166686937599033,16.84594285728535,18.085192879154942,19.31283273997583,70.31093269315254,82.92958011768215,91.0001216255942,101.0756571437121,108.51115727492966,115.87699643985498
15,15.190633606545301,17.91688459332639,19.660520104295042,21.837333333518046,23.4437685470527,25.035153551820514,60.762534426181205,71.66753837330556,78.64208041718017,87.3493333340722,93.7750741882108,100.14061420728207
20,17.577733173288134,20.73239502942054,22.75003040639855,25.268914285928027,27.12778931873241,28.96924910996374,52.7331995198644,62.19718508826162,68.25009121919565,75.80674285778409,81.38336795619723,86.90774732989122
25,19.74782368850889,23.29194997132431,25.558676135583557,28.388533333573463,30.47689911116851,32.54569961736667,47.39477685242134,55.900679931178345,61.34082272540054,68.13248000057631,73.14455786680442,78.10967908168001
30,21.70090515220757,25.5955494190377,28.086457291850056,31.19619047645435,33.49109792436099,35.76450507402931,43.40181030441514,51.1910988380754,56.17291458370011,62.3923809529087,66.98219584872199,71.52901014805862
60,29.325547502983206,34.58858029599689,37.954672016013596,42.157014157370746,45.25824043832567,48.33041226220177,29.325547502983206,34.58858029599689,37.954672016013596,42.157014157370746,45.25824043832567,48.33041226220177
360,50.27236714797121,59.294709078851824,65.06515202745187,72.26916712692129,77.58555503712974,82.85213530663161,8.378727857995202,9.882451513141971,10.844192004575312,12.044861187820215,12.930925839521622,13.808689217771935
480,54.46173107696881,64.23593483542281,70.48724802973953,78.29159772083139,84.05101795689053,89.75647991551757,6.807716384621101,8.029491854427851,8.810906003717442,9.786449715103924,10.506377244611317,11.219559989439697
600,57.25464036296721,67.53008533980346,74.1019786979313,82.30655145010479,88.3613265700644,94.35937632144154,5.725464036296721,6.7530085339803465,7.410197869793129,8.230655145010479,8.836132657006441,9.435937632144155
720,59.34932232746601,70.00069821808896,76.81302669907514,85.31776674705985,91.59405802994482,97.81154862588453,4.945776860622168,5.83339151817408,6.401085558256261,7.109813895588322,7.632838169162069,8.150962385490377
1440,69.82273214996002,82.35376260951642,90.36826670479428,100.37384323183512,107.75771532934685,115.07241014809945,2.909280506248334,3.4314067753965176,3.765344446033095,4.18224346799313,4.489904805389452,4.79468375617081
