duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,9.222884689688218,10.878108503091024,11.936744349036276,13.2583809524931,14.233716617853425,15.199914656462457,110.67461627625862,130.53730203709227,143.24093218843532,159.1005714299172,170.8045994142411,182.3989758775495
10,14.648110977740112,17.276995857850448,18.95835867199879,21.05742857160669,22.606491098943675,24.141040924969783,87.88866586644068,103.66197514710268,113.75015203199276,126.34457142964013,135.63894659366207,144.8462455498187
15,18.988292008181624,22.396105741657987,24.5756501303688,27.296666666897558,29.304710683815873,31.293941939775642,75.9531680327265,89.58442296663195,98.3026005214752,109.18666666759023,117.2188427352635,125.17576775910257
20,21.972166466610165,25.915493786775674,28.43753800799818,31.58614285741003,33.90973664841551,36.21156138745467,65.91649939983049,77.74648136032701,85.31261402399454,94.75842857223009,101.72920994524654,108.63468416236401
25,24.684779610636113,29.114937464155386,31.948345169479442,35.48566666696682,38.09612388896063,40.68212452170834,59.24347106552668,69.87584991397293,76.67602840675066,85.16560000072037,91.43069733350552,97.63709885210001
30,27.126131440259467,31.99443677379713,35.10807161481257,38.99523809556794,41.863872405451254,44.70563134253664,54.252262880518934,63.98887354759426,70.21614322962515,77.99047619113588,83.72774481090251,89.41126268507328
60,38.48978109766546,45.39751163849592,49.81550702101784,55.3310810815491,59.401440575302445,63.43366609413982,38.489781097665464,45.39751163849592,49.81550702101784,55.3310810815491,59.401440575302445,63.43366609413982
360,59.69843598821581,70.41246703113654,77.2648680325991,85.81963596321903,92.13284660659156,98.38691067662504,9.949739331369303,11.73541117185609,12.877478005433185,14.303272660536503,15.355474434431926,16.39781844610417
480,61.26944746158991,72.26542668985066,79.29815403345697,88.07804743593532,94.55739520150186,100.97603990495726,7.658680932698739,9.033178336231332,9.912269254182121,11.009755929491915,11.819674400187733,12.622004988119658
600,64.41147040833812,75.9713460072789,83.36472603517272,92.5948703813679,99.40649239132247,106.15429836162176,6.441147040833812,7.597134600727889,8.336472603517272,9.25948703813679,9.940649239132247,10.615429836162175
720,66.76798761839926,78.75078549535007,86.41465503645952,95.98248759044233,103.04331528368792,110.0379922041201,5.563998968199939,6.562565457945839,7.201221253038294,7.99854063253686,8.586942940307326,9.169832683676674
1440,86.40563103557552,101.91278122927658,111.83073004718291,124.21263099939596,133.35017272006672,142.4021075582731,3.600234626482314,4.246365884553191,4.659613751965955,5.175526291641498,5.556257196669447,5.933421148261378
