duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,9.222884689688218,10.878108503091024,11.936744349036276,13.2583809524931,14.233716617853425,15.199914656462457,110.67461627625862,130.53730203709227,143.24093218843532,159.1005714299172,170.8045994142411,182.3989758775495
10,14.648110977740112,17.276995857850448,18.95835867199879,21.05742857160669,22.606491098943675,24.141040924969783,87.88866586644068,103.66197514710268,113.75015203199276,126.34457142964013,135.63894659366207,144.8462455498187
15,18.988292008181624,22.396105741657987,24.5756501303688,27.296666666897558,29.304710683815873,31.293941939775642,75.9531680327265,89.58442296663195,98.3026005214752,109.18666666759023,117.2188427352635,125.17576775910257
20,21.972166466610165,25.915493786775674,28.43753800799818,31.58614285741003,33.90973664841551,36.21156138745467,65.91649939983049,77.74648136032701,85.31261402399454,94.75842857223009,101.72920994524654,108.63468416236401
25,24.684779610636113,29.114937464155386,31.948345169479442,35.48566666696682,38.09612388896063,40.68212452170834,59.24347106552668,69.87584991397293,76.67602840675066,85.16560000072037,91.43069733350552,97.63709885210001
30,27.126131440259467,31.99443677379713,35.10807161481257,38.99523809556794,41.863872405451254,44.70563134253664,54.252262880518934,63.98887354759426,70.21614322962515,77.99047619113588,83.72774481090251,89.41126268507328
60,36.65693437872901,43.23572536999612,47.44334002001699,52.696267696713434,56.57280054790709,60.41301532775221,36.65693437872901,43.23572536999612,47.44334002001699,52.696267696713434,56.5728005479071,60.41301532775221
360,62.84045893496401,74.11838634856477,81.33144003431484,90.33645890865161,96.98194379641215,103.5651691332895,10.473409822494002,12.353064391427461,13.555240005719138,15.056076484775268,16.163657299402026,17.260861522214917
480,68.07716384621102,80.2949185442785,88.10906003717442,97.86449715103923,105.06377244611318,112.19559989439696,8.509645480776378,10.036864818034813,11.013632504646802,12.233062143879904,13.132971555764147,14.02444998679962
600,71.56830045370901,84.41260667475433,92.62747337241413,102.88318931263099,110.45165821258051,117.94922040180194,7.156830045370901,8.441260667475433,9.262747337241413,10.288318931263099,11.04516582125805,11.794922040180193
720,74.18665290933252,87.5008727726112,96.01628337384392,106.64720843382482,114.49257253743103,122.26443578235568,6.1822210757777105,7.2917393977176,8.001356947820327,8.887267369485402,9.541047711452586,10.188702981862974
1440,87.27841518745001,102.94220326189551,112.96033338099284,125.46730403979389,134.69714416168355,143.8405126851243,3.636600632810417,4.289258469245647,4.706680557541368,5.227804334991412,5.612381006736815,5.993354695213513
