duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,11.067461627625862,13.053730203709229,14.324093218843531,15.910057142991722,17.08045994142411,18.23989758775495,132.80953953151032,156.64476244451075,171.88911862612238,190.92068571590067,204.96551929708932,218.87877105305938
10,17.577733173288134,20.73239502942054,22.75003040639855,25.268914285928027,27.12778931873241,28.96924910996374,105.4663990397288,124.39437017652324,136.5001824383913,151.61348571556817,162.76673591239447,173.81549465978244
15,22.785950409817953,26.875326889989587,29.490780156442565,32.75600000027707,35.16565282057905,37.55273032773078,91.14380163927181,107.50130755995835,117.96312062577026,131.02400000110828,140.6626112823162,150.2109213109231
20,26.3665997599322,31.098592544130806,34.12504560959782,37.90337142889204,40.69168397809861,43.45387366494561,79.0997992797966,93.29577763239243,102.37513682879346,113.71011428667612,122.07505193429583,130.36162099483684
25,29.621735532763335,34.937924956986464,38.33801420337533,42.582800000360194,45.71534866675277,48.818549426050005,71.092165278632,83.85101989676753,92.01123408810079,102.19872000086447,109.71683680020664,117.16451862252
30,32.551357728311366,38.39332412855656,42.12968593777509,46.794285714681536,50.23664688654151,53.646757611043974,65.10271545662273,76.78664825711311,84.25937187555019,93.58857142936307,100.47329377308301,107.29351522208795
60,43.98832125447482,51.88287044399535,56.9320080240204,63.23552123605613,67.88736065748853,72.49561839330266,43.98832125447482,51.88287044399535,56.9320080240204,63.23552123605613,67.88736065748853,72.49561839330266
360,75.40855072195683,88.94206361827774,97.59772804117782,108.40375069038193,116.3783325556946,124.27820295994741,12.568091786992806,14.823677269712958,16.26628800686297,18.067291781730322,19.39638875928243,20.7130338266579
480,81.69259661545321,96.35390225313421,105.7308720446093,117.43739658124709,126.0765269353358,134.63471987327637,10.211574576931651,12.044237781641776,13.216359005576162,14.679674572655886,15.759565866916976,16.829339984159546
600,85.88196054445082,101.29512800970521,111.15296804689696,123.4598271751572,132.54198985509663,141.53906448216233,8.588196054445083,10.12951280097052,11.115296804689695,12.34598271751572,13.254198985509662,14.153906448216233
720,89.02398349119902,105.00104732713343,115.2195400486127,127.97665012058978,137.39108704491724,146.7173229388268,7.4186652909332516,8.75008727726112,9.60162833738439,10.664720843382481,11.449257253743104,12.226443578235568
1440,104.73409822494003,123.53064391427463,135.55240005719142,150.5607648477527,161.63657299402027,172.60861522214918,4.363920759372501,5.147110163094776,5.6480166690496425,6.273365201989696,6.734857208084178,7.192025634256216
