duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,7.329212076832923,8.832331079503906,9.8275266499721,11.084958891470974,12.01779395997921,12.943741120769493,87.95054492199509,105.98797295404685,117.9303197996652,133.0195066976517,144.21352751975053,155.3248934492339
10,11.640513298499348,14.027819949800323,15.608424679367454,17.60552294527743,19.087084524672864,20.55770648592802,69.84307979099609,84.16691969880193,93.65054807620473,105.63313767166457,114.52250714803718,123.34623891556812
15,15.089554275832487,18.184211046037454,20.233143102883734,22.821974188322592,24.742516976427783,26.648878778054836,60.35821710332995,72.73684418414982,80.93257241153493,91.28789675329037,98.97006790571113,106.59551511221935
20,17.46076994774902,21.041729924700483,23.412637019051182,26.408284417916143,28.630626787009298,30.836559728892027,52.38230984324706,63.12518977410146,70.23791105715354,79.22485325374842,85.89188036102789,92.50967918667608
25,19.616420558582234,23.63947435984869,26.30308603374886,29.668566444819373,32.16527206935612,34.64354241147129,47.07940934059736,56.73473846363686,63.12740648099726,71.2045594675665,77.19665296645469,83.14450178753108
30,21.556506108332123,25.977444351482074,28.904490146976762,32.60282026903227,35.34645282346826,38.06982682579262,43.113012216664245,51.95488870296415,57.808980293953525,65.20564053806454,70.69290564693652,76.13965365158523
60,29.130413659908278,35.10465452902983,39.06012182023887,44.05786522842199,47.76547678847063,51.44571192674679,29.130413659908278,35.10465452902983,39.06012182023887,44.05786522842199,47.76547678847063,51.44571192674679
360,49.93785198841419,60.17940776405114,66.96020883469521,75.52776896300912,81.88367449452107,88.19264901728022,8.322975331402365,10.029901294008523,11.160034805782535,12.587961493834854,13.647279082420178,14.698774836213369
480,54.099339654115376,65.1943584110554,72.54022623758648,81.82174970992655,88.70731403573117,95.54203643538689,6.762417456764422,8.149294801381926,9.06752827969831,10.227718713740819,11.088414254466397,11.942754554423361
600,56.87366476458283,68.53765884239158,76.26023783951398,86.01773687453817,93.25640706320456,100.44162804745801,5.6873664764582825,6.8537658842391584,7.626023783951397,8.601773687453818,9.325640706320456,10.044162804745802
720,58.95440859743342,71.04513416589371,79.05024654095962,89.1647272479969,96.66822683380961,104.11632175651135,4.912867383119452,5.92042784715781,6.587520545079969,7.430393937333075,8.055685569484135,8.676360146375947
1440,69.35812776168638,83.58251078340437,93.0002900481878,104.89967911529047,113.72732568683483,122.48979030177807,2.889921990070266,3.4826046159751822,3.8750120853411585,4.370819963137103,4.738638570284785,5.103741262574086
