duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,9.161515096041153,11.040413849379883,12.284408312465125,13.856198614338718,15.022242449974014,16.179676400961867,109.93818115249385,132.4849661925586,147.4128997495815,166.27438337206462,180.26690939968816,194.1561168115424
10,14.550641623124184,17.5347749372504,19.510530849209317,22.006903681596786,23.85885565584108,25.69713310741002,87.3038497387451,105.2086496235024,117.0631850952559,132.04142208958072,143.15313393504647,154.18279864446012
15,18.861942844790608,22.730263807546816,25.291428878604666,28.527467735403235,30.928146220534728,33.311098472568546,75.44777137916243,90.92105523018726,101.16571551441866,114.10987094161295,123.71258488213893,133.24439389027418
20,21.825962434686275,26.3021624058756,29.265796273813972,33.01035552239517,35.78828348376162,38.54569966111503,65.47788730405883,78.90648721762679,87.79738882144191,99.03106656718552,107.36485045128487,115.6370989833451
25,24.52052569822779,29.54934294981086,32.87885754218607,37.08570805602421,40.20659008669515,43.30442801433911,58.849261675746696,70.91842307954606,78.90925810124656,89.0056993344581,96.49581620806835,103.93062723441386
30,26.94563263541516,32.4718054393526,36.13061268372096,40.753525336290345,44.183066029335336,47.58728353224078,53.89126527083032,64.9436108787052,72.26122536744192,81.50705067258069,88.36613205867067,95.17456706448156
60,38.233667928629615,46.07485906935165,51.26640988906352,57.82594811230386,62.6921882848677,67.52249690385516,38.233667928629615,46.07485906935165,51.26640988906352,57.82594811230386,62.6921882848677,67.52249690385516
360,59.30119923624185,71.46304671981073,79.51524799120057,89.68922564357334,97.23686346224379,104.72877070802025,9.883533206040308,11.910507786635122,13.25254133186676,14.94820427392889,16.206143910373967,17.454795118003375
480,60.86175711087979,73.34365321243733,81.60775451728479,92.04946842366738,99.79572829019756,107.48479098981025,7.607719638859974,9.167956651554666,10.200969314660599,11.506183552958422,12.474466036274695,13.435598873726281
600,63.98287286015569,77.10486619769053,85.79276756945325,96.76995398385546,104.91345794610514,112.99683155339028,6.398287286015568,7.710486619769052,8.579276756945324,9.676995398385547,10.491345794610513,11.299683155339029
720,66.3237096721126,79.92577593663042,88.93152735857957,100.3103181539965,108.7517551880358,117.13086197607528,5.526975806009383,6.660481328052535,7.410960613214964,8.359193179499709,9.06264626566965,9.76090516467294
1440,85.83068310508689,103.4333570944629,115.0878589346324,129.81335290517194,140.73756553745812,151.58111549845037,3.576278462711954,4.3097232122692875,4.795327455609684,5.4088897043821635,5.864065230727422,6.3158798124354325
