duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,9.161515096041153,11.040413849379883,12.284408312465125,13.856198614338718,15.022242449974014,16.179676400961867,109.93818115249385,132.4849661925586,147.4128997495815,166.27438337206462,180.26690939968816,194.1561168115424
10,14.550641623124184,17.5347749372504,19.510530849209317,22.006903681596786,23.85885565584108,25.69713310741002,87.3038497387451,105.2086496235024,117.0631850952559,132.04142208958072,143.15313393504647,154.18279864446012
15,18.861942844790608,22.730263807546816,25.291428878604666,28.527467735403235,30.928146220534728,33.311098472568546,75.44777137916243,90.92105523018726,101.16571551441866,114.10987094161295,123.71258488213893,133.24439389027418
20,21.825962434686275,26.3021624058756,29.265796273813972,33.01035552239517,35.78828348376162,38.54569966111503,65.47788730405883,78.90648721762679,87.79738882144191,99.03106656718552,107.36485045128487,115.6370989833451
25,24.52052569822779,29.54934294981086,32.87885754218607,37.08570805602421,40.20659008669515,43.30442801433911,58.849261675746696,70.91842307954606,78.90925810124656,89.0056993344581,96.49581620806835,103.93062723441386
30,26.94563263541516,32.4718054393526,36.13061268372096,40.753525336290345,44.183066029335336,47.58728353224078,53.89126527083032,64.9436108787052,72.26122536744192,81.50705067258069,88.36613205867067,95.17456706448156
60,36.413017074885346,43.880818161287294,48.82515227529859,55.07233153552749,59.70684598558829,64.30713990843348,36.413017074885346,43.880818161287294,48.82515227529859,55.07233153552749,59.70684598558829,64.30713990843348
360,62.42231498551774,75.22425970506393,83.70026104336901,94.4097112037614,102.35459311815134,110.24081127160026,10.403719164252957,12.537376617510654,13.95004350722817,15.734951867293567,17.059098853025223,18.37346854526671
480,67.62417456764422,81.49294801381926,90.6752827969831,102.27718713740819,110.88414254466396,119.42754554423362,8.453021820955527,10.186618501727407,11.334410349622887,12.784648392176024,13.860517818082995,14.928443193029203
600,71.09208095572853,85.67207355298947,95.32529729939249,107.52217109317272,116.5705088290057,125.55203505932252,7.109208095572853,8.567207355298947,9.532529729939249,10.752217109317272,11.65705088290057,12.555203505932253
720,73.69301074679178,88.80641770736715,98.81280817619954,111.45590905999612,120.83528354226202,130.1454021956392,6.141084228899316,7.400534808947262,8.234400681349962,9.287992421666342,10.069606961855168,10.845450182969934
1440,86.69765970210797,104.47813847925545,116.25036256023473,131.12459889411306,142.15915710854352,153.11223787722258,3.612402487587832,4.353255769968977,4.8437651066764476,5.463524953921378,5.92329821285598,6.379676578217608
