duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,10.993818115249384,13.24849661925586,14.741289974958152,16.62743833720646,18.026690939968816,19.41561168115424,131.92581738299262,158.98195943107032,176.8954796994978,199.52926004647753,216.3202912796258,232.98734017385087
10,17.46076994774902,21.041729924700483,23.412637019051182,26.408284417916143,28.630626787009298,30.836559728892027,104.76461968649411,126.25037954820291,140.47582211430708,158.44970650749684,171.78376072205577,185.01935837335216
15,22.634331413748733,27.27631656905618,30.349714654325606,34.23296128248389,37.113775464641684,39.973318167082255,90.53732565499493,109.10526627622473,121.39885861730242,136.93184512993557,148.45510185856674,159.89327266832905
20,26.191154921623532,31.56259488705072,35.11895552857677,39.61242662687421,42.94594018051394,46.25483959333803,78.5734647648706,94.68778466115216,105.35686658573032,118.83727988062262,128.83782054154182,138.7645187800141
25,29.42463083787335,35.45921153977304,39.45462905062328,44.50284966722905,48.24790810403418,51.96531361720693,70.61911401089604,85.10210769545529,94.69110972149589,106.80683920134972,115.79497944968203,124.71675268129664
30,32.334759162498194,38.96616652722312,43.356735220465154,48.90423040354842,53.0196792352024,57.10474023868895,64.66951832499639,77.93233305444625,86.71347044093031,97.80846080709684,106.0393584704048,114.2094804773779
60,43.69562048986242,52.65698179354476,58.590182730358315,66.08679784263299,71.64821518270595,77.16856789012019,43.69562048986242,52.65698179354476,58.590182730358315,66.08679784263299,71.64821518270595,77.16856789012019
360,74.90677798262129,90.26911164607672,100.44031325204281,113.2916534445137,122.82551174178163,132.2889735259203,12.484462997103547,15.044851941012787,16.740052208673802,18.881942240752284,20.470918623630272,22.048162254320054
480,81.14900948117305,97.7915376165831,108.81033935637971,122.73262456488983,133.06097105359675,143.31305465308034,10.143626185146632,12.223942202072887,13.601292419547464,15.341578070611229,16.632621381699593,17.914131831635043
600,85.31049714687425,102.80648826358738,114.39035675927099,129.02660531180726,139.88461059480684,150.66244207118703,8.531049714687425,10.280648826358737,11.439035675927098,12.902660531180725,13.988461059480684,15.066244207118704
720,88.43161289615013,106.56770124884056,118.57536981143944,133.74709087199534,145.0023402507144,156.17448263476706,7.369301074679177,8.880641770736712,9.881280817619954,11.145590905999612,12.0835283542262,13.014540219563921
1440,104.03719164252958,125.37376617510655,139.5004350722817,157.3495186729357,170.59098853025228,183.73468545266712,4.334882985105399,5.223906923962773,5.812518128011738,6.556229944705654,7.107957855427179,7.6556118938611295
