duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,6.847096466658316,9.198468962943174,10.570159711989604,12.227586110646971,13.433189640732012,14.62091166813606,82.1651575998998,110.38162755531809,126.84191654387523,146.73103332776367,161.19827568878412,175.45094001763272
10,10.874717815438691,14.609246271459027,16.78781497507044,19.420200902084584,21.33498553957083,23.22137029707753,65.24830689263214,87.65547762875416,100.72688985042264,116.52120541250751,128.009913237425,139.32822178246516
20,16.312076723158007,21.913869407188514,25.181722462605634,29.13030135312685,32.00247830935622,34.83205544561627,48.93623016947402,65.74160822156554,75.5451673878169,87.39090405938055,96.00743492806866,104.49616633684882
30,20.13841856743564,27.05420660055285,31.088593595563342,35.96338456309408,39.50928416947956,43.00259157037301,40.27683713487128,54.1084132011057,62.177187191126684,71.92676912618816,79.01856833895911,86.00518314074603
60,27.214079145183245,36.5597386493957,42.011612966977445,48.59916832850547,53.39092455335071,58.111610230233765,27.214079145183245,36.5597386493957,42.011612966977445,48.59916832850547,53.39092455335071,58.111610230233765
360,46.652626154186116,62.67376843209255,72.01984680339032,83.31280921777767,91.52725618331397,99.61986787835008,7.775437692364353,10.445628072015426,12.003307800565056,13.885468202962945,15.254542697218994,16.603311313058345
480,50.540345000368255,67.89658246810023,78.02150070367283,90.25554331925912,99.15452753192346,107.92152353487924,6.317543125046032,8.48707280851253,9.752687587959104,11.281942914907388,12.394315941490431,13.490190441859905
600,53.13215756448966,71.37845849210532,82.02260330386113,94.88403272024671,104.23937509766307,113.45596063923198,5.313215756448965,7.137845849210532,8.202260330386112,9.488403272024671,10.423937509766308,11.345596063923198
720,55.07601698758085,73.9898655101093,85.0234302540025,98.35539977098756,108.05301077196793,117.60678846749667,4.589668082298404,6.165822125842442,7.085285854500209,8.196283314248964,9.004417564330662,9.800565705624722
1440,64.7953141030361,87.0469006001284,100.02756500470863,115.71223502469107,127.1211891434915,138.36092760881945,2.699804754293171,3.626954191672017,4.167815208529527,4.821343126028794,5.296716214312147,5.765038650367477
