duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,8.558839264021188,11.498053399482922,13.212667982280266,15.284453246721142,16.791459593294363,18.276114140871762,102.70607116825427,137.97664079379507,158.5520157873632,183.4134389606537,201.49751511953235,219.31336969046114
10,13.593397269298348,18.26155783932377,20.984768718838037,24.27525112760572,26.66873192446353,29.026712871346902,81.56038361579009,109.56934703594263,125.90861231302821,145.65150676563434,160.01239154678117,174.1602772280814
20,20.39014879952855,27.39238418305972,31.477201015507838,36.41292687013271,40.00315022159799,43.54012396500262,61.170446398585646,82.17715254917916,94.43160304652352,109.23878061039814,120.00945066479399,130.62037189500785
30,25.173023209294506,33.81775825069102,38.860741994454145,44.954230703867566,49.386605211849414,53.75323946296624,50.34604641858901,67.63551650138204,77.72148398890828,89.90846140773513,98.77321042369883,107.50647892593248
60,35.71847887805302,47.98465697733185,55.14024201915789,63.78640843116341,70.07558847627278,76.2714884271818,35.71847887805302,47.98465697733185,55.14024201915789,63.78640843116341,70.07558847627278,76.2714884271818
360,55.39999355809598,74.42510001310987,85.52356807902598,98.93396094611094,108.68861671768532,118.2985931055407,9.233332259682664,12.404183335518312,14.253928013170995,16.48899349101849,18.114769452947552,19.716432184256785
480,56.85788812541424,76.38365527661273,87.77418829163189,101.53748623416647,111.54884347341385,121.41171397673912,7.10723601567678,9.547956909576591,10.971773536453986,12.692185779270808,13.943605434176732,15.17646424709239
600,59.773677260050896,80.30076580361852,92.27542871684378,106.74453681027757,117.26929698487095,127.63795571913597,5.977367726005089,8.030076580361852,9.227542871684378,10.674453681027757,11.726929698487096,12.763795571913597
720,61.96051911102844,83.23859869887293,95.65135903575279,110.64982474236098,121.55963711846391,132.30763702593373,5.163376592585703,6.936549891572745,7.970946586312732,9.22081872853008,10.129969759871994,11.025636418827812
1440,80.18423394585187,107.7205630385215,123.78412577303949,143.19389169016392,157.31246220495714,171.2216282798488,3.341009747743828,4.48835679327173,5.157671907209979,5.9664121537568295,6.554685925206547,7.134234511660366
