duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,10.270566825692077,13.797621478600176,15.855158587566512,18.34130085196876,20.14970856515022,21.931294169462102,123.24680190830493,165.5714577432021,190.26190305079814,220.09561022362513,241.79650278180264,263.1755300335452
10,16.312076723158007,21.913869407188514,25.181722462605634,29.13030135312685,32.00247830935622,34.83205544561627,97.87246033894804,131.48321644313108,151.0903347756338,174.7818081187611,192.01486985613732,208.99233267369763
20,24.46817855943424,32.87086101967165,37.7726412186094,43.69551224415925,48.0037802659176,52.248148758003154,73.40453567830272,98.61258305901495,113.31792365582821,131.08653673247775,144.01134079775278,156.74444627400948
30,30.20762785115342,40.581309900829226,46.632890393344965,53.945076844641065,59.26392625421927,64.50388735555946,60.41525570230684,81.16261980165845,93.26578078668993,107.89015368928213,118.52785250843854,129.0077747111189
60,40.82111871777488,54.83960797409356,63.01741945046619,72.89875249275823,80.0863868300261,87.16741534535068,40.82111871777488,54.83960797409356,63.01741945046619,72.89875249275823,80.0863868300261,87.16741534535068
360,69.97896780728891,94.01067319725516,108.0297824928345,124.9692145659613,137.29087610614448,149.42978468059542,11.663161301214819,15.668445532875861,18.00496374880575,20.828202427660216,22.881812684357413,24.90496411343257
480,75.81054845789639,101.84489596369315,117.03226436723745,135.38331577979147,148.73178244832326,161.88226673731177,9.476318557237049,12.730611995461645,14.62903304590468,16.922914472473934,18.591472806040407,20.23528334216397
600,79.69826889163463,107.0677111413184,123.03391895017265,142.32604992234482,156.359053343109,170.18392144178924,7.969826889163463,10.70677111413184,12.303391895017265,14.232604992234483,15.6359053343109,17.018392144178925
720,82.61405921693834,110.98482252453736,127.53515988737409,147.53310052925985,162.07950651419836,176.41016247014738,6.884504934744862,9.248735210378113,10.627929990614508,12.294425044104987,13.506625542849862,14.700846872512281
1440,97.1930285792844,130.57039980731906,150.0413883585431,173.56838230393842,190.6818049812508,207.5414041387412,4.04970952413685,5.440433325304961,6.251724514939296,7.2320159293307675,7.945075207552116,8.647558505780884
