duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,8.521469334,11.645875601568184,13.279058120823867,15.020657229181252,16.14573748744064,17.157724680529842,102.257632008,139.7505072188182,159.3486974498864,180.24788675017504,193.7488498492877,205.89269616635812
10,13.534098354,18.496390661314173,21.09026878013202,23.856337952229044,25.6432301271116,27.250503904370923,81.20459012399999,110.97834396788502,126.54161268079213,143.13802771337424,153.8593807626696,163.50302342622552
20,20.301147530999998,27.74458599197126,31.635403170198032,35.78450692834357,38.464845190667404,40.87575585655638,60.903442593,83.23375797591379,94.9062095105941,107.3535207850307,115.39453557200223,122.62726756966916
30,25.0631451,34.25257529872995,39.05605329654078,44.17840361523898,47.487463198354824,50.46389611920542,50.1262902,68.5051505974599,78.11210659308156,88.35680723047795,94.97492639670965,100.92779223841085
60,33.869115,46.28726391720264,52.77845040073079,59.70054542599861,64.17224756534435,68.19445421514246,33.869115,46.28726391720264,52.77845040073079,59.70054542599861,64.17224756534435,68.19445421514246
360,58.06134,79.34959528663309,90.47734354410993,102.34379215885477,110.00956725487603,116.90477865452993,9.67689,13.224932547772182,15.079557257351654,17.05729869314246,18.334927875812674,19.484129775754987
480,62.899785,85.96206156051917,98.01712217278575,110.872441505426,119.17703119278235,126.64684354240742,7.862473125,10.745257695064897,12.252140271598218,13.85905518817825,14.897128899097794,15.830855442800928
600,66.125415,90.37037240977659,103.04364125856964,116.55820773647349,125.28867381805327,133.1415534676591,6.612541500000001,9.037037240977659,10.304364125856964,11.65582077364735,12.528867381805327,13.31415534676591
720,68.54463750000001,93.67660554671963,106.81353057290755,120.8225324097591,129.87240578700641,138.01258591159785,5.7120531250000015,7.806383795559968,8.901127547742297,10.068544367479925,10.822700482250536,11.501048825966487
1440,80.64075,110.20777123143485,125.66297714459711,142.14415577618718,152.79106563177226,162.36774813129156,3.3600312499999996,4.591990467976452,5.235957381024879,5.922673157341132,6.366294401323844,6.765322838803815
