duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,6.8171754672,9.316700481254546,10.623246496659092,12.016525783345001,12.91658998995251,13.726179744423874,81.8061056064,111.80040577505456,127.47895795990912,144.19830940014,154.9990798794301,164.71415693308649
10,10.8272786832,14.79711252905134,16.872215024105618,19.085070361783238,20.51458410168928,21.800403123496743,64.9636720992,88.78267517430804,101.2332901446337,114.51042217069944,123.0875046101357,130.80241874098047
20,16.2409180248,22.195668793577006,25.30832253615843,28.627605542674857,30.77187615253392,32.70060468524511,48.722754074399994,66.58700638073103,75.92496760847528,85.88281662802457,92.31562845760176,98.10181405573533
30,20.05051608,27.402060238983964,31.24484263723263,35.34272289219118,37.989970558683865,40.37111689536434,40.10103216,54.80412047796793,62.48968527446526,70.68544578438237,75.97994111736774,80.74223379072868
60,27.095292000000004,37.02981113376212,42.22276032058464,47.760436340798904,51.33779805227549,54.55556337211398,27.095292000000004,37.02981113376212,42.22276032058464,47.760436340798904,51.33779805227549,54.55556337211398
360,46.449072,63.47967622930648,72.38187483528795,81.87503372708382,88.00765380390084,93.52382292362395,7.741512,10.579946038217745,12.063645805881324,13.64583895451397,14.66794230065014,15.58730382060399
480,50.319828,68.76964924841535,78.41369773822859,88.69795320434079,95.34162495422589,101.31747483392593,6.2899785,8.596206156051919,9.801712217278574,11.087244150542599,11.917703119278237,12.664684354240741
600,52.900332000000006,72.29629792782127,82.43491300685571,93.2465661891788,100.23093905444262,106.51324277412726,5.2900332,7.229629792782126,8.24349130068557,9.32465661891788,10.023093905444261,10.651324277412726
720,54.835710000000006,74.94128443737571,85.45082445832605,96.6580259278073,103.89792462960516,110.41006872927828,4.5696425000000005,6.245107036447976,7.120902038193838,8.054835493983942,8.65816038580043,9.20083906077319
1440,64.51259999999999,88.16621698514787,100.53038171567769,113.71532462094973,122.2328525054178,129.89419850503324,2.6880249999999997,3.673592374381161,4.1887659048199035,4.738138525872905,5.0930355210590745,5.412258271043052
