duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,9.222883652146947,10.878107586035261,11.936743939291192,13.258381363439653,14.233717695073974,15.199916416651776,110.67460382576337,130.53729103242313,143.2409272714943,159.10057636127584,170.80461234088767,182.39899699982132
10,14.64810932987988,17.27699440134956,18.958358021226633,21.05742922428596,22.606492809822832,24.14104372056405,87.88865597927928,103.66196640809737,113.75014812735981,126.34457534571577,135.63895685893698,144.8462623233843
20,21.97216399482075,25.915491602025256,28.437537031840854,31.586143836429834,33.909739214735126,36.21156558084695,65.91649198446225,77.74647480607577,85.31261109552256,94.75843150928951,101.72921764420538,108.63469674254085
30,27.126128388668498,31.99443407657538,35.10807040968111,38.99523930423547,41.86387557374823,44.70563651956534,54.252256777336996,63.98886815315076,70.21614081936222,77.99047860847094,83.72775114749646,89.41127303913068
60,36.65693025495822,43.23572172510265,47.44333839146174,52.69626933004871,56.57280482939028,60.41302232373772,36.65693025495822,43.23572172510265,47.44333839146173,52.69626933004871,56.57280482939028,60.413022323737714
360,62.840473704439376,74.11841199557445,81.33147359126828,90.33650275560476,96.9819953714107,103.56522841473512,10.47341228407323,12.353068665929074,13.555245598544712,15.056083792600793,16.163665895235116,17.26087140245585
480,68.07717984647844,80.29494632854181,88.1090963905437,97.86454465190852,105.06382831903186,112.19566411596688,8.509647480809805,10.036868291067726,11.013637048817962,12.233068081488565,13.132978539878982,14.02445801449586
600,71.56830045371295,84.41260667475858,92.62747337241859,102.88318931263572,110.45165821258541,117.94922040180703,7.156830045371295,8.441260667475857,9.26274733724186,10.288318931263571,11.045165821258541,11.794922040180703
720,74.18665290933691,87.5008727726162,96.01628337384932,106.64720843383073,114.4925725374373,122.26443578236231,6.182221075778076,7.2917393977180165,8.001356947820776,8.887267369485894,9.541047711453107,10.188702981863525
1440,87.27841518745578,102.94220326190175,112.96033338099939,125.46730403980084,134.69714416169077,143.8405126851318,3.6366006328106577,4.289258469245906,4.706680557541641,5.227804334991702,5.612381006737115,5.993354695213826
