duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,7.378306921717504,8.702486068828133,9.549395151432865,10.606705090751618,11.386974156059063,12.159933133321292,88.53968306061005,104.4298328259376,114.59274181719438,127.2804610890194,136.64368987270876,145.91919759985552
10,11.718487463904863,13.82159552108061,15.16668641698227,16.845943379429734,18.08519424785923,19.31283497645221,70.31092478342917,82.92957312648366,91.00011850189362,101.0756602765784,108.51116548715538,115.87700985871325
20,17.577731195856376,20.73239328162009,22.750029625472642,25.268915069143915,27.12779137178822,28.969252464677737,52.73319358756913,62.19717984486027,68.25008887641793,75.80674520743175,81.38337411536466,86.90775739403321
30,21.7009027109345,25.59554726126006,28.08645632774468,31.196191443388216,33.49110045899845,35.76450921565217,43.401805421869,51.19109452252012,56.17291265548936,62.39238288677643,66.9822009179969,71.52901843130434
60,29.325544203965833,34.58857738008119,37.95467071316835,42.15701546403778,45.25824386351091,48.33041785898877,29.325544203965833,34.58857738008119,37.95467071316835,42.15701546403778,45.25824386351091,48.33041785898877
360,50.27236149251191,59.29470408013874,65.06514979400276,72.2691693669222,77.58556090887645,82.85214490112449,8.378726915418651,9.882450680023123,10.844191632333795,12.0448615611537,12.930926818146075,13.80869081685408
480,54.461724950222866,64.23592942015186,70.48724561017117,78.29160014750049,84.05102431795089,89.75649030955289,6.807715618777858,8.029491177518983,8.810905701271396,9.786450018437561,10.506378039743861,11.219561288694111
600,57.2546538196018,67.53010870708083,74.10200927204659,82.30659139955348,88.36137356062136,94.35943033342832,5.72546538196018,6.753010870708083,7.4102009272046585,8.230659139955348,8.836137356062135,9.435943033342832
720,59.34933627641582,70.00072244026546,76.813058391754,85.31780815807167,91.59410673966607,97.81160461391684,4.945778023034652,5.833393536688789,6.401088199312833,7.109817346505972,7.632842228305506,8.150967051159737
1440,69.82274856049328,82.35379110619911,90.3683039903035,100.37389195067752,107.75777263490646,115.07247601637816,2.9092811900205535,3.431407962758296,3.7653459995959793,4.182245497944897,4.489907193121103,4.794686500682423
