duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,11.067460382576673,13.053729103242683,14.324092727149822,15.910057636128002,17.08046123408921,18.239899699982594,132.80952459092006,156.6447492389122,171.88911272579784,190.92069163353602,204.9655348090705,218.87879639979116
10,17.577731195856376,20.73239328162009,22.750029625472642,25.268915069143915,27.12779137178822,28.969252464677737,105.46638717513827,124.39435968972055,136.50017775283587,151.6134904148635,162.76674823072932,173.81551478806642
20,26.366596793785448,31.09858992243076,34.12504443820942,37.90337260371612,40.691687057682415,43.45387869701655,79.09979038135634,93.29576976729228,102.37513331462826,113.71011781114836,122.07506117304725,130.36163609104966
30,32.55135406640186,38.39332089189007,42.12968449161691,46.79428716508211,50.23665068849739,53.6467638234779,65.10270813280373,76.78664178378014,84.25936898323383,93.58857433016422,100.47330137699478,107.29352764695581
60,43.98831630594779,51.8828660701209,56.932006069751665,63.23552319605586,67.88736579526561,72.49562678848241,43.98831630594779,51.8828660701209,56.932006069751665,63.23552319605586,67.88736579526561,72.49562678848241
360,75.40855072195775,88.94206361827848,97.59772804117846,108.40375069038244,116.378332555695,124.2782029599477,12.568091786992959,14.82367726971308,16.266288006863075,18.067291781730408,19.3963887592825,20.713033826657952
480,81.69259661545824,96.35390225313921,105.73087204461427,117.43739658125206,126.07652693534075,134.6347198732813,10.21157457693228,12.044237781642401,13.216359005576784,14.679674572656507,15.759565866917594,16.829339984160164
600,85.88196054445336,101.29512800970804,111.15296804689999,123.45982717516048,132.5419898551001,141.53906448216597,8.588196054445337,10.129512800970803,11.115296804689999,12.34598271751605,13.25419898551001,14.153906448216597
720,89.02398349120406,105.00104732713848,115.21954004861776,127.97665012059485,137.3910870449223,146.7173229388319,7.4186652909336726,8.75008727726154,9.601628337384813,10.664720843382904,11.449257253743525,12.226443578235992
1440,104.73409822494493,123.53064391428,135.5524000571971,150.56076484775878,161.6365729940266,172.60861522215583,4.363920759372705,5.147110163095,5.64801666904988,6.273365201989948,6.734857208084442,7.192025634256493
