duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,9.461750112000002,11.09969504375905,11.955877883302,12.86889725030972,13.458711553899771,13.989237724945916,113.54100134400002,133.1963405251086,143.470534599624,154.42676700371663,161.50453864679724,167.870852699351
10,15.027485471999999,17.62892742244084,18.98874722642082,20.438836809315433,21.375600703252577,22.21820109256116,90.164912832,105.77356453464503,113.93248335852493,122.6330208558926,128.25360421951547,133.30920655536696
20,22.541228208,26.44339113366126,28.48312083963123,30.658255213973153,32.06340105487887,33.32730163884174,67.62368462399999,79.3301734009838,85.4493625188937,91.97476564191945,96.1902031646366,99.98190491652522
30,27.8286768,32.646161893408966,35.164346715594114,37.84969779502858,39.58444574676403,41.144816838076224,55.6573536,65.29232378681793,70.32869343118823,75.69939559005716,79.16889149352806,82.28963367615246
60,37.60632,44.11643499109319,47.51938745350555,51.14824026355213,53.49249425238382,55.601103835238135,37.60632,44.11643499109319,47.51938745350555,51.14824026355213,53.49249425238382,55.601103835238135
360,64.46797714285714,75.62817427044547,81.46180706315238,87.6826975946608,91.70141871837227,95.31617800326536,10.744662857142856,12.604695711740911,13.57696784385873,14.613782932443465,15.283569786395379,15.886029667210893
480,69.84030857142857,81.93052212631592,88.25029098508175,94.98958906088254,99.34320361156995,103.25919283687082,8.73003857142857,10.24131526578949,11.031286373135218,11.873698632610317,12.417900451446242,12.907399104608853
600,73.42186285714286,86.1320873635629,92.77594693303466,99.8608500383637,104.43772687370175,108.55453605927445,7.342186285714285,8.61320873635629,9.277594693303467,9.98608500383637,10.443772687370176,10.855453605927446
720,76.10802857142858,89.28326129149814,96.17018889399935,103.51429577147456,108.2586193203006,112.52604347607718,6.342335714285714,7.440271774291512,8.01418240783328,8.626191314289548,9.02155161002505,9.3771702896731
1440,89.53885714285714,105.03913093117427,113.14139869882274,121.78152443702889,127.36308155329482,132.3835805600908,3.730785714285714,4.376630455465595,4.714224945784281,5.074230184876204,5.3067950647206175,5.515982523337116
