duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,7.5694000896,8.879756035007238,9.5647023066416,10.295117800247775,10.766969243119817,11.191390179956732,90.83280107520001,106.55707242008687,114.7764276796992,123.54141360297331,129.2036309174378,134.29668215948078
10,12.0219883776,14.103141937952671,15.190997781136655,16.351069447452346,17.100480562602062,17.774560874048927,72.1319302656,84.61885162771603,91.14598668681994,98.10641668471408,102.60288337561238,106.64736524429357
20,18.0329825664,21.15471290692901,22.786496671704988,24.526604171178523,25.650720843903095,26.661841311073395,54.098947699200004,63.46413872078703,68.35949001511497,73.57981251353557,76.95216253170928,79.9855239332202
30,22.26294144,26.11692951472717,28.13147737247529,30.279758236022865,31.667556597411224,32.91585347046097,44.52588288,52.23385902945434,56.26295474495058,60.55951647204573,63.33511319482245,65.83170694092195
60,30.08505600000001,35.293147992874566,38.01550996280446,40.91859221084172,42.79399540190707,44.48088306819052,30.08505600000001,35.293147992874566,38.01550996280446,40.918592210841716,42.79399540190707,44.48088306819052
360,51.574381714285714,60.502539416356385,65.16944565052191,70.14615807572865,73.36113497469782,76.2529424026123,8.595730285714286,10.083756569392731,10.861574275086985,11.691026345954775,12.226855829116305,12.708823733768718
480,55.872246857142855,65.54441770105274,70.6002327880654,75.99167124870603,79.47456288925596,82.60735426949665,6.984030857142857,8.193052212631592,8.825029098508175,9.498958906088253,9.934320361156995,10.325919283687082
600,58.737490285714294,68.90566989085033,74.22075754642773,79.88868003069098,83.55018149896142,86.84362884741958,5.873749028571429,6.890566989085034,7.422075754642774,7.988868003069098,8.355018149896143,8.684362884741958
720,60.886422857142875,71.42660903319853,76.9361511151995,82.81143661717968,86.6068954562405,90.02083478086178,5.073868571428573,5.952217419433211,6.411345926266625,6.900953051431641,7.217241288020042,7.501736231738481
1440,71.63108571428572,84.03130474493942,90.5131189590582,97.42521954962312,101.89046524263586,105.90686444807264,2.9846285714285714,3.5013043643724755,3.7713799566274253,4.059384147900963,4.245436051776494,4.412786018669693
