duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,11.354100134400001,13.319634052510859,14.3470534599624,15.442676700371663,16.150453864679726,16.787085269935098,136.24920161280002,159.8356086301303,172.16464151954878,185.31212040445996,193.8054463761567,201.44502323922117
10,18.0329825664,21.15471290692901,22.786496671704988,24.526604171178523,25.650720843903095,26.661841311073395,108.19789539840001,126.92827744157405,136.71898003022994,147.15962502707114,153.90432506341855,159.9710478664404
20,27.049473849600002,31.732069360393513,34.17974500755748,36.78990625676778,38.47608126585464,39.99276196661009,81.1484215488,95.19620808118054,102.53923502267244,110.36971877030332,115.42824379756391,119.97828589983028
30,33.39441216,39.175394272090756,42.19721605871294,45.4196373540343,47.50133489611684,49.37378020569147,66.78882432,78.35078854418151,84.39443211742588,90.8392747080686,95.00266979223368,98.74756041138293
60,45.127584000000006,52.939721989311835,57.02326494420667,61.37788831626257,64.1909931028606,66.72132460228576,45.127584000000006,52.939721989311835,57.02326494420667,61.37788831626257,64.1909931028606,66.72132460228576
360,77.36157257142857,90.75380912453457,97.75416847578285,105.21923711359295,110.04170246204671,114.37941360391844,12.893595428571428,15.125634854089094,16.292361412630477,17.53653951893216,18.34028374367445,19.063235600653073
480,83.80837028571429,98.31662655157912,105.9003491820981,113.98750687305906,119.21184433388396,123.911031404245,10.476046285714286,12.28957831894739,13.237543647762262,14.248438359132383,14.901480541735493,15.488878925530624
600,88.10623542857141,103.35850483627547,111.33113631964157,119.83302004603642,125.32527224844209,130.26544327112933,8.810623542857142,10.335850483627548,11.133113631964157,11.983302004603642,12.532527224844209,13.026544327112934
720,91.32963428571429,107.13991354979775,115.40422667279921,124.21715492576948,129.91034318436073,135.0312521712926,7.610802857142858,8.928326129149813,9.617018889399933,10.351429577147456,10.82586193203006,11.252604347607717
1440,107.44662857142858,126.04695711740914,135.7696784385873,146.13782932443468,152.83569786395378,158.86029667210897,4.476942857142857,5.251956546558714,5.657069934941138,6.089076221851444,6.36815407766474,6.61917902800454
