Year,Month,Precipitation
2006,9,2.6
2006,10,0.0
2006,11,0.0
2006,12,0.0
2007,1,0.0
2007,2,0.0
2007,3,0.0
2007,4,0.0
2007,5,0.0
2007,6,0.0
2007,7,141.60000000000002
2007,8,0.0
2007,9,0.6000000000000001
2007,10,57.00000000000001
2007,11,190.39999999999992
2007,12,131.00000000000003
2008,1,182.79999999999998
2008,2,189.39999999999995
2008,3,176.39999999999995
2008,4,98.80000000000001
2008,5,31.599999999999994
2008,6,32.4
2008,7,0.0
2008,8,47.4
2008,9,35.2
2008,10,85.40000000000002
2008,11,61.399999999999984
2008,12,164.60000000000002
2009,1,330.39999999999986
2009,2,180.2
2009,3,303.9999999999998
2009,4,105.19999999999999
2009,5,35.6
2009,6,31.399999999999995
2009,7,71.00000000000001
2009,8,153.39999999999998
2009,9,132.80000000000004
2009,10,80.2
2009,11,254.20000000000002
2009,12,396.1999999999996
2010,1,346.7999999999998
2010,2,115.00000000000003
2010,3,182.59999999999988
2010,4,123.80000000000001
2010,5,12.999999999999996
2010,6,19.0
2010,7,33.8
2010,8,0.0
2010,9,97.4
2010,10,67.8
2010,11,63.60000000000002
2010,12,149.60000000000002
2011,1,437.99999999999994
2011,2,328.99999999999994
2011,3,279.1999999999997
2011,4,88.20000000000002
2011,5,6.000000000000002
2011,6,44.000000000000014
2011,7,0.2
2011,8,22.799999999999997
2011,9,3.4000000000000004
2011,10,175.0
2011,11,131.60000000000002
2011,12,232.0
2012,1,27.799999999999997
2012,2,0.0
2012,3,12.599999999999998
2012,4,164.8
2012,5,87.80000000000001
2012,6,193.99999999999986
2012,7,41.2
2012,8,2.4
2012,9,77.80000000000001
2012,10,98.20000000000003
2012,11,176.2
2012,12,242.59999999999988
2013,1,272.39999999999975
2013,2,226.39999999999998
2013,3,182.0
2013,4,71.8
2013,5,156.00000000000003
2013,6,86.80000000000001
2013,7,20.4
2013,8,23.2
2013,9,62.80000000000001
2013,10,175.4
2013,11,161.79999999999978
2013,12,121.60000000000001
2014,1,71.19999999999999
2014,2,20.599999999999966
2014,3,33.19999999999993
2014,4,0.0
2014,5,10.999999999999993
2014,6,0.0
2014,7,0.0
2014,8,0.4
2014,9,21.79999999999999
2014,10,57.80000000000001
2014,11,198.39999999999984
2014,12,290.99999999999994
2015,1,139.8
2015,2,196.99999999999994
2015,3,222.80000000000004
2015,4,48.00000000000002
2015,5,74.20000000000006
2015,6,8.200000000000001
2015,7,73.40000000000002
2015,8,9.0
2015,9,163.59999999999994
2015,10,80.19999999999999
2015,11,237.40000000000003
2015,12,163.79999999999993
2016,1,450.9999999999996
2016,2,193.2
2016,3,7.4
2016,4,9.599999999999998
2016,5,151.2
2016,6,118.20000000000005
2016,7,2.6
2016,8,55.80000000000002
2016,9,21.599999999999998
2016,10,155.8
2016,11,191.20000000000002
2016,12,251.39999999999978
2017,1,258.99999999999983
2017,2,132.99999999999994
2017,3,172.6
2017,4,162.99999999999991
2017,5,137.99999999999994
2017,6,9.799999999999999
2017,7,0.0
2017,8,21.599999999999998
2017,9,56.199999999999996
2017,10,146.60000000000005
2017,11,201.3999999999999
2017,12,274.7999999999999
2018,1,243.59999999999994
2018,2,130.40000000000003
2018,3,216.79999999999998
2018,4,12.6
2018,5,34.2
2018,6,0.4
2018,7,0.2
2018,8,32.2
2018,9,59.00000000000002
2018,10,270.39999999999986
2018,11,160.20000000000002
2018,12,182.39999999999992
2019,1,149.40000000000003
2019,2,241.79999999999987
2019,3,171.99999999999997
2019,4,195.99999999999997
2019,5,36.600000000000016
2019,6,9.000000000000002
2019,7,36.2
2019,8,25.2
2019,9,78.40000000000002
2019,10,68.60000000000001
2019,11,162.0
2019,12,233.8
2020,1,316.7999999999999
2020,2,437.39999999999975
2020,3,94.8
2020,4,6.800000000000001
2020,5,28.599999999999998
2020,6,29.2
2020,7,1.8
2020,8,19.0
2020,9,29.2
2020,10,74.20000000000003
2020,11,133.8
2020,12,269.8
2021,1,10.6
