Year,Precipitation
1960,0.0
1961,1282.2999999999995
1962,1708.6999999999991
1963,882.7
1964,1550.6000000000004
1965,1841.0999999999995
1966,1313.0000000000007
1967,1583.1999999999994
1968,597.9000000000001
1969,439.6999999999998
1970,1286.4000000000005
1971,1363.9999999999998
1972,2099.1999999999994
1973,1546.9
1974,1784.6
1975,1304.200000000001
1976,1944.9000000000005
1977,1541.8999999999996
1978,1501.8000000000002
1979,916.1999999999997
1980,1310.7000000000003
1981,1178.1
1982,1692.4
1983,2434.9000000000005
1984,952.6999999999999
1985,0.0
1986,1452.6000000000008
1987,1561.8000000000006
1988,1319.5000000000007
1989,1654.5000000000007
1990,1590.3000000000002
1991,1452.9
1992,1351.3000000000002
1993,1872.7000000000007
1994,1451.4999999999998
1995,1808.5
1996,1869.2000000000005
1997,1633.1000000000004
1998,1652.4000000000003
1999,1397.7999999999997
2000,1719.3999999999994
2001,1462.8000000000009
2002,1484.1000000000006
2003,1176.2000000000003
2004,1601.6
2005,1630.1999999999998
2006,1326.2999999999997
2007,1388.0000000000007
2008,1073.8000000000002
2009,2102.499999999999
2010,1217.999999999999
2011,1773.6999999999998
2012,1546.3999999999999
2013,1521.0999999999997
2014,1111.4
2015,1371.499999999999
2016,1405.3999999999996
2017,979.1999999999998
2018,945.4000000000003
2019,862.7
2020,598.7999999999998
2021,0.0
