Year,Month,Day,Precipitation,Date
2015,4,14,0.6,4/14/2015
2015,4,15,0,4/15/2015
2015,4,16,0.2,4/16/2015
2015,4,17,3.8,4/17/2015
2015,4,18,0,4/18/2015
2015,4,19,18.8,4/19/2015
2015,4,20,0.2,4/20/2015
2015,4,21,0,4/21/2015
2015,4,22,4,4/22/2015
2015,4,23,0,4/23/2015
2015,4,24,0,4/24/2015
2015,4,25,0,4/25/2015
2015,4,26,0,4/26/2015
2015,4,27,0,4/27/2015
2015,4,28,0,4/28/2015
2015,4,29,0,4/29/2015
2015,4,30,0,4/30/2015
2015,5,1,0,5/1/2015
2015,5,2,0,5/2/2015
2015,5,3,0,5/3/2015
2015,5,4,23.2,5/4/2015
2015,5,5,0,5/5/2015
2015,5,6,0,5/6/2015
2015,5,7,0,5/7/2015
2015,5,8,0,5/8/2015
2015,5,9,0,5/9/2015
2015,5,10,15.2,5/10/2015
2015,5,11,1.6,5/11/2015
2015,5,12,0.2,5/12/2015
2015,5,13,0,5/13/2015
2015,5,14,0,5/14/2015
2015,5,15,0,5/15/2015
2015,5,16,0,5/16/2015
2015,5,17,0,5/17/2015
2015,5,18,0.4,5/18/2015
2015,5,19,15.4,5/19/2015
2015,5,20,0.4,5/20/2015
2015,5,21,0,5/21/2015
2015,5,22,0,5/22/2015
2015,5,23,0,5/23/2015
2015,5,24,0,5/24/2015
2015,5,25,0,5/25/2015
2015,5,26,0,5/26/2015
2015,5,27,0,5/27/2015
2015,5,28,2.8,5/28/2015
2015,5,29,1.4,5/29/2015
2015,5,30,0.6,5/30/2015
2015,5,31,20.6,5/31/2015
2015,6,1,0.8,6/1/2015
2015,6,2,0,6/2/2015
2015,6,3,0,6/3/2015
2015,6,4,0,6/4/2015
2015,6,5,0,6/5/2015
2015,6,6,0,6/6/2015
2015,6,7,0,6/7/2015
2015,6,8,0,6/8/2015
2015,6,9,0,6/9/2015
2015,6,10,0.2,6/10/2015
2015,6,11,0,6/11/2015
2015,6,12,0,6/12/2015
2015,6,13,0,6/13/2015
2015,6,14,0,6/14/2015
2015,6,15,2,6/15/2015
2015,6,16,0.2,6/16/2015
2015,6,17,0,6/17/2015
2015,6,18,2.2,6/18/2015
2015,6,19,0,6/19/2015
2015,6,20,0,6/20/2015
2015,6,21,0,6/21/2015
2015,6,22,0,6/22/2015
2015,6,23,0,6/23/2015
2015,6,24,0,6/24/2015
2015,6,25,0,6/25/2015
2015,6,26,0,6/26/2015
2015,6,27,0,6/27/2015
2015,6,28,0,6/28/2015
2015,6,29,0,6/29/2015
2015,6,30,0,6/30/2015
2015,7,1,5.2,7/1/2015
2015,7,2,0,7/2/2015
2015,7,3,0,7/3/2015
2015,7,4,0.2,7/4/2015
2015,7,5,0.4,7/5/2015
2015,7,6,0,7/6/2015
2015,7,7,41.6,7/7/2015
2015,7,8,7.2,7/8/2015
2015,7,9,0,7/9/2015
2015,7,10,0.2,7/10/2015
2015,7,11,0,7/11/2015
2015,7,12,0,7/12/2015
2015,7,13,0,7/13/2015
2015,7,14,0,7/14/2015
2015,7,15,0,7/15/2015
2015,7,16,0,7/16/2015
2015,7,17,0,7/17/2015
2015,7,18,0,7/18/2015
2015,7,19,0,7/19/2015
2015,7,20,0,7/20/2015
2015,7,21,0,7/21/2015
2015,7,22,0,7/22/2015
2015,7,23,0,7/23/2015
2015,7,24,0,7/24/2015
2015,7,25,3.6,7/25/2015
2015,7,26,0,7/26/2015
2015,7,27,0,7/27/2015
2015,7,28,0,7/28/2015
2015,7,29,0,7/29/2015
2015,7,30,0,7/30/2015
2015,7,31,0,7/31/2015
2015,8,1,0,8/1/2015
2015,8,2,0,8/2/2015
2015,8,3,0,8/3/2015
2015,8,4,0,8/4/2015
2015,8,5,0,8/5/2015
2015,8,6,0,8/6/2015
2015,8,7,0,8/7/2015
2015,8,8,0,8/8/2015
2015,8,9,0,8/9/2015
2015,8,10,0,8/10/2015
2015,8,11,0,8/11/2015
2015,8,12,0,8/12/2015
2015,8,13,0,8/13/2015
2015,8,14,0,8/14/2015
2015,8,15,0,8/15/2015
2015,8,16,0,8/16/2015
2015,8,17,0,8/17/2015
2015,8,18,0,8/18/2015
2015,8,19,0,8/19/2015
2015,8,20,0,8/20/2015
2015,8,21,0,8/21/2015
2015,8,22,0,8/22/2015
2015,8,23,0,8/23/2015
2015,8,24,0,8/24/2015
2015,8,25,6.2,8/25/2015
2015,8,26,0.2,8/26/2015
2015,8,27,2.8,8/27/2015
2015,8,28,0.2,8/28/2015
2015,8,29,0,8/29/2015
2015,8,30,0,8/30/2015
2015,8,31,0,8/31/2015
2015,9,1,0,9/1/2015
2015,9,2,0,9/2/2015
2015,9,3,0,9/3/2015
2015,9,4,0,9/4/2015
2015,9,5,3.6,9/5/2015
2015,9,6,0,9/6/2015
2015,9,7,17,9/7/2015
2015,9,8,52.8,9/8/2015
2015,9,9,1.2,9/9/2015
2015,9,10,5.6,9/10/2015
2015,9,11,30.6,9/11/2015
2015,9,12,7.6,9/12/2015
2015,9,13,5,9/13/2015
2015,9,14,0,9/14/2015
2015,9,15,0,9/15/2015
2015,9,16,0,9/16/2015
2015,9,17,0,9/17/2015
2015,9,18,0,9/18/2015
2015,9,19,0,9/19/2015
2015,9,20,0,9/20/2015
