Year,Month,Precipitation
2015,4,27.59999999999997
2015,5,81.80000000000041
2015,6,5.4
2015,7,58.40000000000033
2015,8,9.399999999999999
2015,9,168.80000000000027
2015,10,62.40000000000025
2015,11,112.20000000000105
2015,12,190.39999999999793
2016,1,441.9999999999918
2016,2,89.40000000000053
2016,3,152.4000000000002
2016,4,6.600000000000003
2016,5,106.00000000000063
2016,6,102.2000000000005
2016,7,1.7999999999999998
2016,8,32.199999999999925
2016,9,21.199999999999964
2016,10,150.80000000000032
2016,11,142.80000000000058
2016,12,228.79999999999663
2017,1,207.79999999999748
2017,2,28.59999999999993
2017,3,50.4000000000002
2017,4,0.0
2017,5,107.2000000000006
2017,6,7.600000000000004
2017,7,0.0
2017,8,17.999999999999968
2017,9,28.199999999999932
2017,10,20.19999999999996
2017,11,6.800000000000003
2017,12,235.1999999999966
2018,1,130.80000000000112
2018,2,58.60000000000029
2018,3,25.59999999999994
2018,4,13.999999999999982
2018,5,0.4
2018,6,0.2
2018,7,0.2
2018,8,0.6000000000000001
2018,9,12.199999999999989
2018,10,1.4
2018,11,7.800000000000004
2018,12,41.00000000000004
