Date,P_left,P_right1,P_right2
2015-04-14,0.6000000000000001,0.0,0.0
2015-04-15,0.0,1.6,1.7
2015-04-16,0.2,0.2,0.0
2015-04-17,3.800000000000001,0.0,0.0
2015-04-18,0.0,0.0,0.0
2015-04-19,18.799999999999986,2.4,0.0
2015-04-20,0.2,0.0,2.4
2015-04-21,0.0,0.0,0.0
2015-04-22,4.000000000000001,5.4,5.2
2015-04-23,0.0,0.0,0.0
2015-04-24,0.0,0.0,0.0
2015-04-25,0.0,0.0,0.0
2015-04-26,0.0,0.0,0.0
2015-04-27,0.0,0.0,0.0
2015-04-28,0.0,0.0,0.0
2015-04-29,0.0,0.0,0.0
2015-04-30,0.0,0.0,0.0
2015-05-01,0.0,0.0,0.0
2015-05-02,0.0,0.0,0.0
2015-05-03,0.0,0.0,0.0
2015-05-04,23.199999999999967,21.2,21.1
2015-05-05,0.0,0.0,0.0
2015-05-06,0.0,0.0,0.0
2015-05-07,0.0,0.2,0.0
2015-05-08,0.0,0.0,0.0
2015-05-09,0.0,0.0,0.0
2015-05-10,15.199999999999983,18.2,0.0
2015-05-11,1.6,2.2000000000000006,19.5
2015-05-12,0.2,0.2,0.0
2015-05-13,0.0,0.0,0.0
2015-05-14,0.0,0.0,0.0
2015-05-15,0.0,0.0,0.0
2015-05-16,0.0,0.0,0.0
2015-05-17,0.0,0.0,0.0
2015-05-18,0.4,0.2,0.0
2015-05-19,15.399999999999983,1.0,0.2
2015-05-20,0.4,0.2,0.1
2015-05-21,0.0,0.2,0.1
2015-05-22,0.0,0.0,0.0
2015-05-23,0.0,0.0,0.0
2015-05-24,0.0,0.0,0.0
2015-05-25,0.0,0.0,0.0
2015-05-26,0.0,0.0,0.0
2015-05-27,0.0,0.0,0.0
2015-05-28,2.8000000000000003,3.2,1.8
2015-05-29,1.4,4.0,5.4
2015-05-30,0.6000000000000001,0.2,0.0
2015-05-31,20.599999999999977,23.2,19.2
2015-06-01,0.8,4.2,7.1
2015-06-02,0.0,0.0,0.7
2015-06-03,0.0,0.2,0.0
