Date,P_left,P_right1,P_right2
2016-01-01,1.6,1.7999999999999998,8.299999999999999
2016-01-02,31.999999999999996,28.0,27.6
2016-01-03,20.999999999999996,37.6,35.6
2016-01-04,0.2,2.0000000000000004,3.5
2016-01-05,0.2,0.0,0.0
2016-01-06,0.0,0.0,0.0
2016-01-07,0.0,0.0,0.0
2016-01-08,0.0,0.4,0.0
2016-01-09,18.8,28.0,14.8
2016-01-10,20.0,28.399999999999995,32.9
2016-01-11,23.199999999999992,18.2,25.6
2016-01-12,126.4,116.6,110.6
2016-01-13,36.40000000000001,36.4,50.0
2016-01-14,32.19999999999999,25.8,24.4
2016-01-15,50.00000000000002,55.59999999999999,41.2
2016-01-16,0.6000000000000001,2.8000000000000003,26.1
2016-01-17,0.0,0.0,0.0
2016-01-18,0.0,1.4,0.0
2016-01-19,0.6000000000000001,0.0,0.0
2016-01-20,0.0,0.0,0.0
2016-01-21,0.0,0.0,0.0
2016-01-22,0.0,0.0,0.0
2016-01-23,4.6000000000000005,1.8,0.0
2016-01-24,22.8,25.4,1.8
2016-01-25,4.2,9.0,22.4
2016-01-26,0.0,7.6,15.4
2016-01-27,0.4,4.2,0.2
2016-01-28,0.0,0.0,4.0
2016-01-29,1.2,16.2,15.8
2016-01-30,3.4000000000000004,3.8,3.2
2016-01-31,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0
2016-02-02,0.0,0.0,0.0
2016-02-03,0.0,0.0,0.0
2016-02-04,0.0,0.0,0.0
2016-02-05,7.4,2.0,0.0
2016-02-06,0.0,1.0,2.8
2016-02-07,22.6,5.6,0.0
2016-02-08,4.000000000000001,5.4,10.2
2016-02-09,0.0,0.0,0.0
2016-02-10,0.0,0.0,0.0
2016-02-11,23.0,27.0,0.0
2016-02-12,2.0,13.4,28.4
2016-02-13,0.0,0.0,13.6
2016-02-14,0.0,0.0,0.0
2016-02-15,0.0,0.0,0.0
2016-02-16,58.000000000000036,45.40000000000001,46.0
2016-02-17,0.0,0.0,0.0
2016-02-18,43.2,14.6,5.0
2016-02-19,0.6,0.0,9.0
2016-02-20,3.2,0.0,0.0
2016-02-21,1.0,3.0,0.0
2016-02-22,0.2,0.2,2.4
2016-02-23,20.8,1.6,0.0
2016-02-24,22.4,1.7999999999999998,1.5
2016-02-25,3.0000000000000013,4.0,5.3
2016-02-26,0.6000000000000001,34.8,1.7
2016-02-27,1.4,5.4,37.8
2016-02-28,22.2,26.2,0.4
2016-02-29,9.4,1.8,27.0
2016-03-01,2.0,0.2,1.2
2016-03-02,4.2,0.4,0.0
2016-03-03,1.0,4.8,0.0
2016-03-04,26.200000000000006,0.2,0.0
2016-03-05,1.0,0.0,0.0
2016-03-06,1.0,0.0,0.0
2016-03-07,0.0,0.0,0.0
2016-03-08,0.0,0.0,0.0
2016-03-09,0.0,0.0,0.0
2016-03-10,37.2,0.0,0.0
2016-03-11,46.800000000000026,1.2,0.0
2016-03-12,0.0,0.0,0.0
2016-03-13,0.0,0.0,0.0
2016-03-14,0.0,0.0,0.0
2016-03-15,1.4,0.0,0.0
2016-03-16,13.599999999999996,0.0,0.0
2016-03-17,18.399999999999988,0.0,0.0
2016-03-18,0.0,0.6,0.0
2016-03-19,0.0,0.0,0.0
2016-03-20,0.0,0.0,0.0
2016-03-21,0.0,0.0,0.0
2016-03-22,0.0,0.0,0.0
2016-03-23,18.6,0.0,0.0
2016-03-24,0.4,0.0,0.0
2016-03-25,4.2,0.0,0.0
2016-03-26,0.4,0.0,0.0
2016-03-27,5.4,0.0,0.0
2016-03-28,0.2,0.0,0.0
2016-03-29,0.0,0.0,0.0
2016-03-30,0.0,0.0,0.0
2016-03-31,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0
2016-04-02,0.0,0.0,0.0
2016-04-03,0.0,0.0,3.8
