Year,Month,Day,Precipitation,Date
2016,1,1,1.6,1/1/2016
2016,1,2,32,1/2/2016
2016,1,3,21,1/3/2016
2016,1,4,0.2,1/4/2016
2016,1,5,0.2,1/5/2016
2016,1,6,0,1/6/2016
2016,1,7,0,1/7/2016
2016,1,8,0,1/8/2016
2016,1,9,18.8,1/9/2016
2016,1,10,20,1/10/2016
2016,1,11,23.2,1/11/2016
2016,1,12,126.4,1/12/2016
2016,1,13,36.4,1/13/2016
2016,1,14,32.2,1/14/2016
2016,1,15,50,1/15/2016
2016,1,16,0.6,1/16/2016
2016,1,17,0,1/17/2016
2016,1,18,0,1/18/2016
2016,1,19,0.6,1/19/2016
2016,1,20,0,1/20/2016
2016,1,21,0,1/21/2016
2016,1,22,0,1/22/2016
2016,1,23,4.6,1/23/2016
2016,1,24,22.8,1/24/2016
2016,1,25,4.2,1/25/2016
2016,1,26,0,1/26/2016
2016,1,27,0.4,1/27/2016
2016,1,28,0,1/28/2016
2016,1,29,1.2,1/29/2016
2016,1,30,3.4,1/30/2016
2016,1,31,0,1/31/2016
2016,2,1,0,2/1/2016
2016,2,2,0,2/2/2016
2016,2,3,0,2/3/2016
2016,2,4,0,2/4/2016
2016,2,5,7.4,2/5/2016
2016,2,6,0,2/6/2016
2016,2,7,22.6,2/7/2016
2016,2,8,4,2/8/2016
2016,2,9,0,2/9/2016
2016,2,10,0,2/10/2016
2016,2,11,23,2/11/2016
2016,2,12,2,2/12/2016
2016,2,13,0,2/13/2016
2016,2,14,0,2/14/2016
2016,2,15,0,2/15/2016
2016,2,16,58,2/16/2016
2016,2,17,0,2/17/2016
2016,2,18,43.2,2/18/2016
2016,2,19,0.6,2/19/2016
2016,2,20,3.2,2/20/2016
2016,2,21,1,2/21/2016
2016,2,22,0.2,2/22/2016
2016,2,23,20.8,2/23/2016
2016,2,24,22.4,2/24/2016
2016,2,25,3,2/25/2016
2016,2,26,0.6,2/26/2016
2016,2,27,1.4,2/27/2016
2016,2,28,22.2,2/28/2016
2016,2,29,9.4,2/29/2016
2016,3,1,2,3/1/2016
2016,3,2,4.2,3/2/2016
2016,3,3,1,3/3/2016
2016,3,4,26.2,3/4/2016
2016,3,5,1,3/5/2016
2016,3,6,1,3/6/2016
2016,3,7,0,3/7/2016
2016,3,8,0,3/8/2016
2016,3,9,0,3/9/2016
2016,3,10,37.2,3/10/2016
2016,3,11,46.8,3/11/2016
2016,3,12,0,3/12/2016
2016,3,13,0,3/13/2016
2016,3,14,0,3/14/2016
2016,3,15,1.4,3/15/2016
2016,3,16,13.6,3/16/2016
2016,3,17,18.4,3/17/2016
2016,3,18,0,3/18/2016
2016,3,19,0,3/19/2016
2016,3,20,0,3/20/2016
2016,3,21,0,3/21/2016
2016,3,22,0,3/22/2016
2016,3,23,18.6,3/23/2016
2016,3,24,0.4,3/24/2016
2016,3,25,4.2,3/25/2016
2016,3,26,0.4,3/26/2016
2016,3,27,5.4,3/27/2016
2016,3,28,0.2,3/28/2016
2016,3,29,0,3/29/2016
2016,3,30,0,3/30/2016
2016,3,31,0,3/31/2016
2016,4,1,0,4/1/2016
2016,4,2,0,4/2/2016
2016,4,3,0,4/3/2016
2016,4,4,0,4/4/2016
2016,4,5,0,4/5/2016
2016,4,6,0,4/6/2016
2016,4,7,0,4/7/2016
2016,4,8,0,4/8/2016
2016,4,9,0,4/9/2016
2016,4,10,0,4/10/2016
2016,4,11,0,4/11/2016
2016,4,12,0,4/12/2016
2016,4,13,0,4/13/2016
2016,4,14,0,4/14/2016
2016,4,15,0,4/15/2016
2016,4,16,0,4/16/2016
2016,4,17,0,4/17/2016
2016,4,18,0,4/18/2016
2016,4,19,0,4/19/2016
2016,4,20,0,4/20/2016
2016,4,21,0,4/21/2016
2016,4,22,0,4/22/2016
2016,4,23,0,4/23/2016
2016,4,24,0,4/24/2016
2016,4,25,0,4/25/2016
2016,4,26,1.8,4/26/2016
2016,4,27,5.6,4/27/2016
2016,4,28,0.2,4/28/2016
2016,4,29,0,4/29/2016
2016,4,30,0.2,4/30/2016
2016,5,1,0,5/1/2016
2016,5,2,0,5/2/2016
2016,5,3,0,5/3/2016
2016,5,4,0,5/4/2016
2016,5,5,0,5/5/2016
2016,5,6,0,5/6/2016
2016,5,7,0,5/7/2016
2016,5,8,0,5/8/2016
2016,5,9,0,5/9/2016
2016,5,10,4.8,5/10/2016
2016,5,11,0.2,5/11/2016
2016,5,12,0,5/12/2016
2016,5,13,0,5/13/2016
2016,5,14,0,5/14/2016
2016,5,15,0,5/15/2016
2016,5,16,36.4,5/16/2016
2016,5,17,3.8,5/17/2016
2016,5,18,0.2,5/18/2016
2016,5,19,0,5/19/2016
2016,5,20,0,5/20/2016
2016,5,21,41.4,5/21/2016
2016,5,22,0.2,5/22/2016
2016,5,23,2.8,5/23/2016
2016,5,24,0,5/24/2016
2016,5,25,0,5/25/2016
2016,5,26,0,5/26/2016
2016,5,27,0,5/27/2016
2016,5,28,0,5/28/2016
2016,5,29,0.8,5/29/2016
2016,5,30,13.8,5/30/2016
2016,5,31,12.2,5/31/2016
2016,6,1,18.2,6/1/2016
2016,6,2,22.6,6/2/2016
2016,6,3,26.8,6/3/2016
2016,6,4,1,6/4/2016
2016,6,5,0.6,6/5/2016
2016,6,6,16.6,6/6/2016
2016,6,7,9.6,6/7/2016
2016,6,8,0.2,6/8/2016
2016,6,9,0,6/9/2016
2016,6,10,0,6/10/2016
2016,6,11,0,6/11/2016
2016,6,12,0,6/12/2016
2016,6,13,0,6/13/2016
2016,6,14,0,6/14/2016
2016,6,15,0,6/15/2016
2016,6,16,0,6/16/2016
2016,6,17,0,6/17/2016
2016,6,18,0,6/18/2016
2016,6,19,0,6/19/2016
2016,6,20,0,6/20/2016
2016,6,21,0,6/21/2016
2016,6,22,0.4,6/22/2016
2016,6,23,1.6,6/23/2016
2016,6,24,0,6/24/2016
2016,6,25,0,6/25/2016
2016,6,26,0,6/26/2016
2016,6,27,0,6/27/2016
2016,6,28,0,6/28/2016
2016,6,29,0,6/29/2016
2016,6,30,0,6/30/2016
2016,7,1,0,7/1/2016
2016,7,2,0,7/2/2016
2016,7,3,0,7/3/2016
2016,7,4,0,7/4/2016
2016,7,5,0,7/5/2016
2016,7,6,0,7/6/2016
2016,7,7,0,7/7/2016
2016,7,8,0,7/8/2016
2016,7,9,0,7/9/2016
2016,7,10,0,7/10/2016
2016,7,11,0,7/11/2016
2016,7,12,0,7/12/2016
2016,7,13,0,7/13/2016
2016,7,14,0,7/14/2016
2016,7,15,0,7/15/2016
2016,7,16,1.4,7/16/2016
2016,7,17,0.4,7/17/2016
2016,7,18,0,7/18/2016
2016,7,19,0,7/19/2016
2016,7,20,0,7/20/2016
2016,7,21,0,7/21/2016
2016,7,22,0,7/22/2016
2016,7,23,0,7/23/2016
2016,7,24,0,7/24/2016
2016,7,25,0,7/25/2016
2016,7,26,0,7/26/2016
2016,7,27,0,7/27/2016
2016,7,28,0,7/28/2016
2016,7,29,0,7/29/2016
2016,7,30,0,7/30/2016
2016,7,31,0,7/31/2016
2016,8,1,0,8/1/2016
2016,8,2,0,8/2/2016
2016,8,3,0,8/3/2016
2016,8,4,0,8/4/2016
2016,8,5,0,8/5/2016
2016,8,6,0,8/6/2016
2016,8,7,0,8/7/2016
2016,8,8,0,8/8/2016
2016,8,9,0,8/9/2016
2016,8,10,0,8/10/2016
2016,8,11,0,8/11/2016
2016,8,12,0,8/12/2016
2016,8,13,0,8/13/2016
2016,8,14,0,8/14/2016
2016,8,15,4.6,8/15/2016
2016,8,16,2.6,8/16/2016
2016,8,17,0,8/17/2016
2016,8,18,0,8/18/2016
2016,8,19,0,8/19/2016
2016,8,20,7.2,8/20/2016
2016,8,21,23.4,8/21/2016
2016,8,22,0,8/22/2016
2016,8,23,0,8/23/2016
2016,8,24,0,8/24/2016
2016,8,25,0,8/25/2016
2016,8,26,0,8/26/2016
2016,8,27,0,8/27/2016
2016,8,28,0,8/28/2016
2016,8,29,0,8/29/2016
2016,8,30,0,8/30/2016
2016,8,31,17.4,8/31/2016
2016,9,1,0.2,9/1/2016
2016,9,2,24.8,9/2/2016
2016,9,3,5.4,9/3/2016
2016,9,4,0,9/4/2016
2016,9,5,0,9/5/2016
2016,9,6,8.4,9/6/2016
2016,9,7,0.2,9/7/2016
2016,9,8,0,9/8/2016
2016,9,9,0,9/9/2016
2016,9,10,0,9/10/2016
2016,9,11,0,9/11/2016
2016,9,12,0,9/12/2016
2016,9,13,0,9/13/2016
2016,9,14,0,9/14/2016
2016,9,15,0,9/15/2016
2016,9,16,0,9/16/2016
2016,9,17,0,9/17/2016
2016,9,18,0,9/18/2016
2016,9,19,5.4,9/19/2016
2016,9,20,0,9/20/2016
2016,9,21,0,9/21/2016
2016,9,22,0,9/22/2016
2016,9,23,0,9/23/2016
2016,9,24,0,9/24/2016
2016,9,25,0,9/25/2016
2016,9,26,0,9/26/2016
2016,9,27,0,9/27/2016
2016,9,28,0,9/28/2016
2016,9,29,0,9/29/2016
2016,9,30,0,9/30/2016
2016,10,1,0,10/1/2016
2016,10,2,0,10/2/2016
2016,10,3,0,10/3/2016
2016,10,4,1.4,10/4/2016
2016,10,5,0,10/5/2016
2016,10,6,0,10/6/2016
2016,10,7,0,10/7/2016
2016,10,8,0,10/8/2016
2016,10,9,0,10/9/2016
2016,10,10,0,10/10/2016
2016,10,11,27.8,10/11/2016
2016,10,12,0,10/12/2016
2016,10,13,3,10/13/2016
2016,10,14,2,10/14/2016
2016,10,15,0,10/15/2016
2016,10,16,0,10/16/2016
2016,10,17,0,10/17/2016
2016,10,18,0.4,10/18/2016
2016,10,19,0,10/19/2016
2016,10,20,32.8,10/20/2016
2016,10,21,0,10/21/2016
2016,10,22,34.8,10/22/2016
2016,10,23,0.2,10/23/2016
2016,10,24,22.4,10/24/2016
2016,10,25,6.2,10/25/2016
2016,10,26,24.4,10/26/2016
2016,10,27,3,10/27/2016
2016,10,28,0,10/28/2016
2016,10,29,0,10/29/2016
2016,10,30,0,10/30/2016
2016,10,31,38.6,10/31/2016
2016,11,1,0.2,11/1/2016
2016,11,2,8.2,11/2/2016
2016,11,3,0.2,11/3/2016
2016,11,4,2.2,11/4/2016
2016,11,5,45.2,11/5/2016
2016,11,6,54.8,11/6/2016
2016,11,7,0,11/7/2016
2016,11,8,0,11/8/2016
2016,11,9,28.4,11/9/2016
2016,11,10,3,11/10/2016
2016,11,11,0,11/11/2016
2016,11,12,0,11/12/2016
2016,11,13,26.6,11/13/2016
2016,11,14,23.6,11/14/2016
2016,11,15,0,11/15/2016
2016,11,16,0,11/16/2016
2016,11,17,0,11/17/2016
