Station,Pacum,Pacum_inmet_aut,Pacum_average
CEMADEN Agua Vermelha,399.8,451,436.45
CEMADEN Agua Vermelha,644.8,644.2,630.675
CEMADEN Agua Vermelha,826.8,651.6,712.225
CEMADEN Agua Vermelha,834.6,661.2,720.975
CEMADEN Agua Vermelha,951.2,812.4,843.725
CEMADEN Agua Vermelha,1048.8,930.6,943.15
CEMADEN Agua Vermelha,1050.6,933.2,945.425
CEMADEN Agua Vermelha,1105.8,989,989.475
CEMADEN Agua Vermelha,1150.2,1010.6,1014.975
CEMADEN Agua Vermelha,1347.2,1166.4,1147.725
CEMADEN Agua Vermelha,1579.4,1357.6,1297.25
CEMADEN Agua Vermelha,1805.8,1609,1474.65
CEMADEN Agua Vermelha,2087.6,1868,1679.05
CEMADEN Agua Vermelha,2418,2001,1845.225
CEMADEN Agua Vermelha,2543.4,2173.6,1959.75
CEMADEN Agua Vermelha,2681.6,2336.6,2101.025
CEMADEN Agua Vermelha,2832.2,2474.6,2239.95
CEMADEN Agua Vermelha,2841.2,2484.4,2248.7
CEMADEN Agua Vermelha,2841.2,2484.4,2248.7
CEMADEN Agua Vermelha,2861,2506,2267.475
CEMADEN Agua Vermelha,2909.4,2562.2,2318.325
CEMADEN Agua Vermelha,3017,2708.8,2448.55
CEMADEN Agua Vermelha,3172.6,2910.2,2650.3
CEMADEN Agua Vermelha,3484.8,3185,2859.7
CEMADEN Agua Vermelha,3759.6,3428.6,3086.85
CEMADEN Agua Vermelha,3884,3559,3218.375
CEMADEN Agua Vermelha,4065.8,3775.8,3420.025
CEMADEN Agua Vermelha,4089.6,3788.4,3430.65
CEMADEN Agua Vermelha,4110.2,3822.6,3445.85
CEMADEN Agua Vermelha,4116.8,3823,3447.725
CEMADEN Agua Vermelha,4120,3823.2,3450.075
CEMADEN Agua Vermelha,4202.2,3855.4,3500.775
CEMADEN Agua Vermelha,4275.2,3914.4,3558.2
CEMADEN Agua Vermelha,4577,4184.8,3826.725
CEMADEN Agua Vermelha,4771.6,4345,3973.15
CEMADEN Agua Vermelha,4915.2,4527.4,4089.45
CEMADEN Agua Vermelha,5046.2,4676.8,4230.4
CEMADEN Agua Vermelha,5251,4918.6,4406
CEMADEN Agua Vermelha,5412.4,5090.6,4520.175
CEMADEN Agua Vermelha,5599.8,5286.6,4634.525
CEMADEN Agua Vermelha,5674.4,5323.2,4670.5
CEMADEN Agua Vermelha,5681.8,5332.2,4675.3
CEMADEN Agua Vermelha,5726,5368.4,4714.6
CEMADEN Agua Vermelha,5746.6,5393.6,4731.975
CEMADEN Agua Vermelha,5800.8,5472,4793.875
CEMADEN Agua Vermelha,5891.6,5540.6,4866.6
CEMADEN Agua Vermelha,6030,5702.6,5009.225
CEMADEN Agua Vermelha,6211.2,5936.4,5196.275
CEMADEN Agua Vermelha,6544,6253.2,5472.875
CEMADEN Agua Vermelha,6867,6690.6,5862.225
CEMADEN Agua Vermelha,6987.4,6785.4,5950.625
CEMADEN Agua Vermelha,6994.8,6792.2,5955.325
CEMADEN Agua Vermelha,7018.2,6820.8,5978.275
CEMADEN Agua Vermelha,7039.2,6850,6009.025
CEMADEN Agua Vermelha,7040.2,6851.8,6010.775
CEMADEN Agua Vermelha,7057.2,6870.8,6025.925
CEMADEN Agua Vermelha,7074.4,6900,6048.925
CEMADEN Agua Vermelha,7124,6974.2,6093.775
CEMADEN Agua Vermelha,7243.6,7108,6199.175
CEMADEN Agua Vermelha,7652.4,7377.8,6384.725
CEMADEN Agua Vermelha,7770.2,7388.4,6416.825
CEMADEN Jardim Sao Paulo,431.6,451,436.45
CEMADEN Jardim Sao Paulo,579.2,644.2,630.675
CEMADEN Jardim Sao Paulo,714.8,651.6,712.225
CEMADEN Jardim Sao Paulo,722,661.2,720.975
CEMADEN Jardim Sao Paulo,809.6,812.4,843.725
CEMADEN Jardim Sao Paulo,889.4,930.6,943.15
CEMADEN Jardim Sao Paulo,891.6,933.2,945.425
CEMADEN Jardim Sao Paulo,931.2,989,989.475
CEMADEN Jardim Sao Paulo,940.8,1010.6,1014.975
CEMADEN Jardim Sao Paulo,988.4,1166.4,1147.725
CEMADEN Jardim Sao Paulo,1024.8,1357.6,1297.25
CEMADEN Jardim Sao Paulo,1078.4,1609,1474.65
CEMADEN Jardim Sao Paulo,1182.2,1868,1679.05
CEMADEN Jardim Sao Paulo,1242.2,2001,1845.225
CEMADEN Jardim Sao Paulo,1398,2173.6,1959.75
CEMADEN Jardim Sao Paulo,1501.6,2336.6,2101.025
CEMADEN Jardim Sao Paulo,1675.2,2474.6,2239.95
CEMADEN Jardim Sao Paulo,1683,2484.4,2248.7
CEMADEN Jardim Sao Paulo,1683,2484.4,2248.7
CEMADEN Jardim Sao Paulo,1702.2,2506,2267.475
CEMADEN Jardim Sao Paulo,1767,2562.2,2318.325
CEMADEN Jardim Sao Paulo,1907.6,2708.8,2448.55
CEMADEN Jardim Sao Paulo,2199.6,2910.2,2650.3
CEMADEN Jardim Sao Paulo,2384.4,3185,2859.7
CEMADEN Jardim Sao Paulo,2602.2,3428.6,3086.85
CEMADEN Jardim Sao Paulo,2745.6,3559,3218.375
CEMADEN Jardim Sao Paulo,3025.2,3775.8,3420.025
CEMADEN Jardim Sao Paulo,3025.8,3788.4,3430.65
CEMADEN Jardim Sao Paulo,3027.2,3822.6,3445.85
CEMADEN Jardim Sao Paulo,3027.6,3823,3447.725
CEMADEN Jardim Sao Paulo,3030.2,3823.2,3450.075
CEMADEN Jardim Sao Paulo,3038.2,3855.4,3500.775
CEMADEN Jardim Sao Paulo,3094.6,3914.4,3558.2
CEMADEN Jardim Sao Paulo,3354.4,4184.8,3826.725
CEMADEN Jardim Sao Paulo,3484,4345,3973.15
CEMADEN Jardim Sao Paulo,3585.2,4527.4,4089.45
CEMADEN Jardim Sao Paulo,3736.8,4676.8,4230.4
CEMADEN Jardim Sao Paulo,3836.6,4918.6,4406
CEMADEN Jardim Sao Paulo,3836.6,5090.6,4520.175
CEMADEN Jardim Sao Paulo,3841,5286.6,4634.525
CEMADEN Jardim Sao Paulo,3841,5323.2,4670.5
CEMADEN Jardim Sao Paulo,3841,5332.2,4675.3
CEMADEN Jardim Sao Paulo,3883.8,5368.4,4714.6
CEMADEN Jardim Sao Paulo,3899.6,5393.6,4731.975
CEMADEN Jardim Sao Paulo,3962.6,5472,4793.875
CEMADEN Jardim Sao Paulo,4048.8,5540.6,4866.6
CEMADEN Jardim Sao Paulo,4173.4,5702.6,5009.225
CEMADEN Jardim Sao Paulo,4444.8,5936.4,5196.275
CEMADEN Jardim Sao Paulo,4738.6,6253.2,5472.875
CEMADEN Jardim Sao Paulo,5126.6,6690.6,5862.225
CEMADEN Jardim Sao Paulo,5238.2,6785.4,5950.625
