Station,Pacum,Pacum_inmet_aut,Pacum_average
MAPLU Escola Sao Bento,27.6,48,39.6
MAPLU Escola Sao Bento,109.4,122.2,114.0666667
MAPLU Escola Sao Bento,114.8,130.4,122.3666667
MAPLU Escola Sao Bento,173.2,203.8,189.6666667
MAPLU Escola Sao Bento,182.6,212.8,198.7333333
MAPLU Escola Sao Bento,351.4,376.4,362.6333333
MAPLU Escola Sao Bento,413.8,456.6,425
MAPLU Escola Sao Bento,526,694,630.2666667
MAPLU Escola Sao Bento,716.4,857.8,800.5666667
MAPLU Escola Sao Bento,1158.4,1308.8,1252.7
MAPLU Escola Sao Bento,1247.8,1502,1410.6
MAPLU Escola Sao Bento,1400.2,1509.4,1464.266667
MAPLU Escola Sao Bento,1406.8,1519,1473.133333
MAPLU Escola Sao Bento,1512.8,1670.2,1604.066667
MAPLU Escola Sao Bento,1615,1788.4,1711.566667
MAPLU Escola Sao Bento,1616.8,1791,1713.866667
MAPLU Escola Sao Bento,1649,1846.8,1751.733333
MAPLU Escola Sao Bento,1670.2,1868.4,1774.8
MAPLU Escola Sao Bento,1821,2024.2,1920.533333
MAPLU Escola Sao Bento,1963.8,2215.4,2077.966667
MAPLU Escola Sao Bento,2192.6,2466.8,2297.433333
MAPLU Escola Sao Bento,2400.4,2725.8,2510.7
MAPLU Escola Sao Bento,2429,2858.8,2611.666667
MAPLU Escola Sao Bento,2479.4,3031.4,2687.433333
MAPLU Escola Sao Bento,2479.4,3194.4,2795.2
MAPLU Escola Sao Bento,2586.6,3332.4,2908.1
MAPLU Escola Sao Bento,2594.2,3342.2,2916.7
MAPLU Escola Sao Bento,2594.2,3342.2,2916.7
MAPLU Escola Sao Bento,2612.2,3363.8,2934.733333
MAPLU Escola Sao Bento,2640.4,3420,2974.2
MAPLU Escola Sao Bento,2660.6,3566.6,3071.833333
MAPLU Escola Sao Bento,2667.4,3768,3193.9
MAPLU Escola Sao Bento,2902.6,4042.8,3385.833333
MAPLU Escola Sao Bento,3033.4,4286.4,3568.1
MAPLU Escola Sao Bento,3092,4416.8,3673.733333
MAPLU Escola Sao Bento,3117.6,4633.6,3797.333333
MAPLU Escola Sao Bento,3131.6,4646.2,3808.033333
MAPLU Escola Sao Bento,3132,4680.4,3821.1
MAPLU Escola Sao Bento,3132.2,4680.8,3821.333333
MAPLU Escola Sao Bento,3132.4,4681,3822.6
MAPLU Escola Sao Bento,3133,4713.2,3860.333333
MAPLU Escola Sao Bento,3145.2,4772.2,3897.833333
MAPLU Escola Sao Bento,3146.6,5042.6,4069.133333
MAPLU Escola Sao Bento,3154.4,5202.8,4158.9
MAPLU Escola Sao Bento,3195.4,5385.2,4246.033333
INMET automatic,48,48,39.6
INMET automatic,122.2,122.2,114.0666667
INMET automatic,130.4,130.4,122.3666667
INMET automatic,203.8,203.8,189.6666667
INMET automatic,212.8,212.8,198.7333333
INMET automatic,376.4,376.4,362.6333333
INMET automatic,456.6,456.6,425
INMET automatic,694,694,630.2666667
INMET automatic,857.8,857.8,800.5666667
INMET automatic,1308.8,1308.8,1252.7
INMET automatic,1502,1502,1410.6
INMET automatic,1509.4,1509.4,1464.266667
INMET automatic,1519,1519,1473.133333
INMET automatic,1670.2,1670.2,1604.066667
INMET automatic,1788.4,1788.4,1711.566667
INMET automatic,1791,1791,1713.866667
INMET automatic,1846.8,1846.8,1751.733333
INMET automatic,1868.4,1868.4,1774.8
INMET automatic,2024.2,2024.2,1920.533333
INMET automatic,2215.4,2215.4,2077.966667
INMET automatic,2466.8,2466.8,2297.433333
INMET automatic,2725.8,2725.8,2510.7
INMET automatic,2858.8,2858.8,2611.666667
INMET automatic,3031.4,3031.4,2687.433333
INMET automatic,3194.4,3194.4,2795.2
INMET automatic,3332.4,3332.4,2908.1
INMET automatic,3342.2,3342.2,2916.7
INMET automatic,3342.2,3342.2,2916.7
INMET automatic,3363.8,3363.8,2934.733333
INMET automatic,3420,3420,2974.2
INMET automatic,3566.6,3566.6,3071.833333
INMET automatic,3768,3768,3193.9
INMET automatic,4042.8,4042.8,3385.833333
INMET automatic,4286.4,4286.4,3568.1
INMET automatic,4416.8,4416.8,3673.733333
INMET automatic,4633.6,4633.6,3797.333333
INMET automatic,4646.2,4646.2,3808.033333
INMET automatic,4680.4,4680.4,3821.1
INMET automatic,4680.8,4680.8,3821.333333
INMET automatic,4681,4681,3822.6
INMET automatic,4713.2,4713.2,3860.333333
INMET automatic,4772.2,4772.2,3897.833333
INMET automatic,5042.6,5042.6,4069.133333
INMET automatic,5202.8,5202.8,4158.9
INMET automatic,5385.2,5385.2,4246.033333
INMET conventional,43.2,48,39.6
INMET conventional,110.6,122.2,114.0666667
INMET conventional,121.9,130.4,122.3666667
INMET conventional,192,203.8,189.6666667
INMET conventional,200.8,212.8,198.7333333
INMET conventional,360.1,376.4,362.6333333
INMET conventional,404.6,456.6,425
INMET conventional,670.8,694,630.2666667
INMET conventional,827.5,857.8,800.5666667
INMET conventional,1290.9,1308.8,1252.7
INMET conventional,1482,1502,1410.6
INMET conventional,1483.2,1509.4,1464.266667
INMET conventional,1493.6,1519,1473.133333
INMET conventional,1629.2,1670.2,1604.066667
INMET conventional,1731.3,1788.4,1711.566667
INMET conventional,1733.8,1791,1713.866667
INMET conventional,1759.4,1846.8,1751.733333
INMET conventional,1785.8,1868.4,1774.8
INMET conventional,1916.4,2024.2,1920.533333
INMET conventional,2054.7,2215.4,2077.966667
INMET conventional,2232.9,2466.8,2297.433333
INMET conventional,2405.9,2725.8,2510.7
INMET conventional,2547.2,2858.8,2611.666667
INMET conventional,2551.5,3031.4,2687.433333
INMET conventional,2711.8,3194.4,2795.2
INMET conventional,2805.3,3332.4,2908.1
INMET conventional,2813.7,3342.2,2916.7
INMET conventional,2813.7,3342.2,2916.7
INMET conventional,2828.2,3363.8,2934.733333
INMET conventional,2862.2,3420,2974.2
INMET conventional,2988.3,3566.6,3071.833333
INMET conventional,3146.3,3768,3193.9
INMET conventional,3212.1,4042.8,3385.833333
INMET conventional,3384.5,4286.4,3568.1
INMET conventional,3512.4,4416.8,3673.733333
INMET conventional,3640.8,4633.6,3797.333333
INMET conventional,3646.3,4646.2,3808.033333
INMET conventional,3650.9,4680.4,3821.1
INMET conventional,3651,4680.8,3821.333333
INMET conventional,3654.4,4681,3822.6
INMET conventional,3734.8,4713.2,3860.333333
INMET conventional,3776.1,4772.2,3897.833333
INMET conventional,4018.2,5042.6,4069.133333
INMET conventional,4119.5,5202.8,4158.9
INMET conventional,4157.5,5385.2,4246.033333
