,Year,Precipitation
1,1961,67.8
2,1962,93.3
3,1963,72.10000000000002
4,1964,65.5
5,1965,111.6
6,1966,69.4
7,1967,64.7
8,1968,88.7
9,1969,72.6
10,1970,80.7
11,1971,58.7
12,1972,88.6
13,1973,68.8
14,1974,66.9
15,1975,65.0
16,1976,89.2
17,1977,81.4
18,1978,72.1
19,1979,79.7
20,1980,85.19999999999997
21,1981,63.3
22,1982,80.1
23,1983,105.9
24,1984,69.0
26,1986,72.2
27,1987,76.2
28,1988,112.8
29,1989,92.8
30,1990,71.0
31,1991,83.4
32,1992,57.5
33,1993,100.8
34,1994,66.8
35,1995,108.3
36,1996,105.4
37,1997,78.5
38,1998,76.0
39,1999,77.4
40,2000,93.6
41,2001,82.4
42,2002,115.6
43,2003,91.5
44,2004,126.7
45,2005,95.6
46,2006,74.6
47,2007,68.9
48,2008,45.2
49,2009,75.3
50,2010,97.0
51,2011,100.7
52,2012,80.80000000000003
53,2013,110.9
54,2014,85.4
55,2015,72.6
56,2016,110.6
57,2017,49.3
58,2018,63.40000000000001
59,2019,56.0
60,2020,106.3
