Year,Max_5min,Max_10min,Max_15min,Max_20min,Max_25min,Max_30min,Max_1,Max_3,Max_6,Max_8,Max_10,Max_12,Max_24
2007,11.215,19.015,24.912,27.57,29.327,31.043,30.815,64.988,81.599,81.599,81.599,81.599,89.399
2008,12.716,22.301,27.36,30.234,32.102,34.616,34.872,44.4,46.193,46.193,46.193,46.193,49.8
2009,11.314,20.44,31.18,39.337,46.264,52.934,61.976,67.602,82.61,99.402,99.402,99.402,100.399
2010,9.051,14.252,18.786,22.09,25.765,29.183,49.963,89.586,95.201,95.201,95.201,95.201,95.201
2011,11.897,21.294,27.09,37.241,44.655,52.485,66.401,66.401,67.798,67.798,79.067,93.547,105.722
2012,14.385,25.705,36.867,47.866,57.081,58.415,59.298,60.602,60.602,60.602,60.602,60.602,65.801
2013,14.974,19.562,23.805,27.549,34.386,40.943,59.866,115.399,115.399,115.399,115.399,115.399,122
2014,6.421,10.78,14.85,19.372,22.654,25.626,48.03,55.955,57.202,57.202,57.202,57.202,73.8
2015,11.138,21.047,29.549,34.995,42.909,47.19,35.603,69.598,69.598,69.598,69.598,69.598,84.598
2016,13.636,23.378,30.211,39.199,47.46,55.319,75.999,75.999,120.262,121.203,121.203,121.203,160.203
2017,8.843,15.728,22.766,28.986,34.424,40.195,40.966,57.801,58.396,67.319,76.8,76.8,83.999
2018,8.231,13.223,18.519,23.947,27.917,31.072,36.787,66.848,99.135,100.787,100.809,100.809,100.809
2019,10.341,17.556,24.808,32.152,39.743,44.617,45.067,61.598,61.598,73.596,76.949,77.401,77.401
2020,10.332,19.831,27.457,34.819,39.719,45.518,58.724,108.28,108.6,108.6,109.11,118.399,118.399
