Year,Max_5min,Max_10min,Max_15min,Max_20min,Max_25min,Max_30min,Max_1,Max_3,Max_6,Max_8,Max_10,Max_12,Max_24
1960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1961,9.613,15.7,21.677,28.547,36.464,41.881,58.618,67.699,75.196,75.196,75.19600000000001,75.19600000000001,75.19600000000001
1962,11.416,19.623,27.295,36.806999999999995,38.641999999999996,46.858999999999995,63.14100000000001,72.29899999999999,91.303,105.999,105.999,105.999,105.999
1963,8.442,15.036,21.517,26.906999999999996,32.260999999999996,34.056000000000004,53.94299999999999,67.20100000000001,67.20100000000001,67.20100000000001,67.20100000000001,67.20100000000001,67.20100000000001
1964,13.525,22.426,29.326,36.381,42.668000000000006,50.18,63.20500000000001,65.50000000000001,65.50000000000001,65.50000000000001,66.197,66.197,114.699
1965,10.937,18.545,23.599,24.553,27.815000000000005,31.088,50.825,76.60000000000002,99.046,125.35700000000001,127.90200000000002,127.90200000000002,139.484
1966,13.515,26.741,28.915,33.505,38.946,46.545,59.15600000000001,68.217,89.09899999999999,89.09899999999999,89.09899999999999,89.09899999999999,89.09899999999999
1967,13.461,25.637,33.327,43.268,50.001999999999995,50.748999999999995,51.40000000000001,54.37500000000001,96.88799999999999,101.406,101.406,101.406,101.406
1968,16.278,29.446,39.304,43.624,45.7,45.7,47.56,88.70100000000002,88.70100000000002,88.70100000000002,88.70100000000002,88.70100000000002,106.30100000000002
1969,9.313,16.649,21.078000000000003,24.076,24.101,24.101,38.425,53.20099999999999,74.62400000000002,75.199,75.19900000000001,75.19900000000001,82.963
1970,14.318,19.435,25.250999999999998,32.205999999999996,37.028,40.36,40.169000000000004,50.468999999999994,57.62300000000001,72.298,74.60199999999998,74.60199999999998,74.602
1971,19.276,32.022,40.45,44.89999999999999,44.89999999999999,44.89999999999999,44.9,51.29900000000001,57.834,58.00299999999999,58.00299999999999,58.00299999999999,69.003
1972,14.357,26.744,39.445,50.007,59.487,67.417,62.35699999999999,100.401,100.401,100.401,100.401,100.401,107.3
1973,8.892999999999997,16.105999999999995,21.931,27.976,31.873000000000005,34.20800000000001,38.579,75.56400000000002,81.30199999999999,81.30199999999999,81.30199999999999,81.30199999999999,81.30199999999999
1974,14.598,26.406999999999996,32.146,36.082,39.515,43.606,43.051,69.00000000000001,69.00000000000001,69.00000000000001,69.00000000000001,69.00000000000001,106.244
